#肺动脉吊带#肺动脉吊带_pos#肺动脉吊带_nag
FAM24A#5.6991205#0.5001722#0.0
UBE2T#5.6991205#0.5001722#0.0
SPRR2G#5.69912#0.50017166#0.0
HSF2#5.69912#0.50017166#0.0
TMEM238#5.69912#0.50017166#0.0
BHLHA9#5.6991158#0.50016665#0.0
