#TGA#TGA_pos#TGA_nag
ADM#5.6989884#0.50002#0.0
FGF8#5.6989884#0.50002#0.0
CGB2#5.6989884#0.50002015#0.0
FAM192A#5.6989884#0.5000201#0.0
TCTEX1D2#5.6989884#0.50002#0.0
TUBB6#5.698988#0.50001985#0.0
CD47#5.698988#0.50001997#0.0
TCF19#5.698988#0.5000199#0.0
SLC25A4#5.698988#0.50001997#0.0
SMIM13#5.6989727#0.500002#0.0
YY2#5.6989727#0.500002#0.0
MAGEA10-MAGEA5#5.6989727#0.500002#0.0
MAGEA5#5.6989727#0.500002#0.0
PHOSPHO2-KLHL23#5.6989727#0.5000019#0.0
GNRH1#5.6989727#0.5000019#0.0
RAB6C#5.6989727#0.50000185#0.0
CARNMT1#5.6989727#0.5000019#0.0
KLHL23#5.6989727#0.5000019#0.0
NAA40#5.6989727#0.500002#0.0
PEX11B#5.6989727#0.5000019#0.0
PLA2G5#5.6989727#0.5000019#0.0
SHISA8#5.6989727#0.5000021#0.0
TSHB#5.6989727#0.5000021#0.0
KCNJ6#5.6989727#0.50000185#0.0
RPL39L#5.6989727#0.500002#0.0
SEC61G#5.6989727#0.5000018#0.0
OR2A7#5.6989727#0.50000185#0.0
PPIAL4D#5.6989727#0.50000197#0.0
PPP3R1#5.6989727#0.50000185#0.0
MIR3936HG#5.6989727#0.50000185#0.0
ARL1#5.6989727#0.5000019#0.0
CD59#5.6989727#0.5000019#0.0
HTN3#5.6989727#0.5000019#0.0
HIGD1B#5.6989727#0.5000019#0.0
PPIAL4F#5.6989727#0.50000197#0.0
PPIAL4E#5.6989727#0.50000197#0.0
CHMP1B#5.6989727#0.50000197#0.0
MINOS1#5.6989727#0.50000185#0.0
SCN4B#5.6989727#0.5000021#0.0
NR2E1#5.6989727#0.50000197#0.0
NOMO1#5.6989727#0.50000185#0.0
ZNF385A#5.6989727#0.50000185#0.0
TRIM44#5.6989727#0.5000019#0.0
CT83#5.6989727#0.5000018#0.0
CSRP2#5.6989727#0.5000018#0.0
FAM19A2#5.6989727#0.5000018#0.0
HEXIM1#5.6989727#0.50000185#0.0
STMN2#5.6989727#0.5000019#0.0
MVB12B#5.6989727#0.50000185#0.0
TMCO2#5.6989727#0.5000018#0.0
LOC391322#5.6989727#0.5000019#0.0
WNT7A#5.6989727#0.50000185#0.0
CDK5R2#5.6989727#0.5000019#0.0
PRKX#5.6989727#0.5000019#0.0
UBIAD1#5.6989727#0.5000019#0.0
IGFL4#5.6989727#0.5000018#0.0
FBXO32#5.6989727#0.5000018#0.0
CLDN19#5.6989727#0.5000018#0.0
TTC36#5.6989727#0.5000018#0.0
POPDC3#5.6989727#0.5000018#0.0
SPRR4#5.6989727#0.5000018#0.0
TRAPPC1#5.6989727#0.50000185#0.0
TOMM22#5.6989727#0.50000185#0.0
SRSF3#5.6989727#0.5000018#0.0
HES1#5.6989727#0.5000019#0.0
ARL5A#5.6989727#0.50000197#0.0
TIMP3#5.6989727#0.5000019#0.0
CLEC2D#5.6989727#0.50000185#0.0
PDP2#5.6989727#0.50000185#0.0
EID2B#5.6989727#0.5000018#0.0
LYNX1#5.6989727#0.5000019#0.0
TUBB4A#5.6989727#0.5000018#0.0
GOLGA8A#5.6989727#0.5000018#0.0
SLC16A2#5.6989727#0.50000197#0.0
DDT#5.6989727#0.5000019#0.0
RNF41#5.698972#0.5000017#0.0
TBCB#5.698972#0.50000167#0.0
LSM7#5.698972#0.50000167#0.0
