#共同房室瓣#共同房室瓣_pos#共同房室瓣_nag
BAG5#5.6989827#0.5000134#0.0
CTSG#5.6989827#0.5000134#0.0
TEX12#5.6989827#0.50001365#0.0
GRXCR1#5.6989822#0.5000128#0.0
C5orf58#5.6989822#0.50001323#0.0
SPIN1#5.6989822#0.500013#0.0
IZUMO1#5.6989822#0.500013#0.0
RTL8B#5.6989822#0.500013#0.0
APOLD1#5.6989822#0.5000128#0.0
HMGN3#5.6989822#0.5000128#0.0
PRR7#5.6989822#0.5000128#0.0
TONSL-AS1#5.6989822#0.5000128#0.0
SNURF#5.6989822#0.5000128#0.0
NCALD#5.6989822#0.50001323#0.0
PDXDC1#5.6989822#0.5000132#0.0
MAGEH1#5.6989822#0.5000132#0.0
CDK2AP2#5.6989822#0.5000133#0.0
SPDYE2B#5.698982#0.5000126#0.0
HMGN1#5.698982#0.50001264#0.0
MAP1LC3B2#5.698982#0.5000127#0.0
SPDYE2#5.698982#0.5000126#0.0
TFF3#5.698982#0.5000126#0.0
DNAJC5#5.698982#0.50001264#0.0
