#COA-IVS#COA-IVS_pos#COA-IVS_nag
KCNA2#5.6990027#0.5000364#0.0
TSPAN6#5.6990027#0.5000364#0.0
TBPL1#5.699001#0.50003433#0.0
HIST1H2BK#5.699001#0.5000343#0.0
PURB#5.6990004#0.50003374#0.0
GREM2#5.699#0.5000336#0.0
FOSB#5.699#0.5000336#0.0
ADIPOQ-AS1#5.6989994#0.5000328#0.0
DPPA2#5.6989994#0.5000328#0.0
GP1BB#5.6989994#0.5000328#0.0
FAM19A1#5.6989994#0.5000328#0.0
NSG2#5.6989994#0.5000328#0.0
SMIM19#5.698999#0.50003225#0.0
HIST1H2BN#5.698999#0.50003225#0.0
