#ASD+#ASD+_pos#ASD+_nag
SNRNP27#5.699088#0.500135#0.0
HIST1H4H#5.699081#0.5001269#0.0
HMHB1#5.6990767#0.500122#0.0
ARPC5L#5.6990767#0.500122#0.0
