#MV#MV_pos#MV_nag
MRPL48#5.698985#0.5000164#0.0
TRAPPC6B#5.698985#0.5000163#0.0
ZBTB2#5.698985#0.50001633#0.0
Mar_03#5.698985#0.50001615#0.0
SAMD5#5.698985#0.5000163#0.0
TRMT2B#5.698985#0.50001615#0.0
HIST1H2BJ#5.698985#0.5000161#0.0
SPDYE16#5.698985#0.50001615#0.0
IMMP1L#5.6989846#0.5000159#0.0
UBTD2#5.6989846#0.5000158#0.0
PAX1#5.6989846#0.500016#0.0
KRTAP13-3#5.6989713#0.5000005#0.0
CHMP3#5.6989713#0.50000024#0.0
ZCCHC10#5.6989713#0.50000024#0.0
DEFB134#5.6989713#0.50000024#0.0
TRPM1#5.6989713#0.50000024#0.0
OTUD5#5.6989713#0.50000024#0.0
FAM50A#5.6989713#0.50000036#0.0
OTX2#5.6989713#0.50000036#0.0
SRGAP2C#5.6989713#0.50000024#0.0
ZNF22#5.698971#0.5000002#0.0
TMEM219#5.698971#0.5000002#0.0
METTL9#5.698971#0.5000001#0.0
TMEM115#5.698971#0.5000001#0.0
SDF2#5.698971#0.50000006#0.0
PIP4P2#5.698971#0.49999997#0.0
GNG2#5.698971#0.49999997#0.0
TFF1#5.698971#0.5000002#0.0
METTL2A#5.698971#0.5000002#0.0
SPATA9#5.698971#0.50000006#0.0
CHRNA7#5.698971#0.5000001#0.0
CALM2#5.698971#0.49999982#0.0
ZFP92#5.698971#0.49999982#0.0
SSU72#5.698971#0.49999988#0.0
PYDC2#5.698971#0.49999988#0.0
H3.Y#5.698971#0.49999988#0.0
ESM1#5.698971#0.49999988#0.0
TMPO-AS1#5.698971#0.5000001#0.0
MSL1#5.698971#0.49999988#0.0
CCL19#5.698971#0.5000002#0.0
ACTL6B#5.698971#0.5000002#0.0
DUSP7#5.698971#0.5000002#0.0
FAM72B#5.698971#0.5000002#0.0
KMT5A#5.698971#0.5000002#0.0
ADAT2#5.698971#0.5000001#0.0
LOC100289561#5.698971#0.5000002#0.0
ANAPC16#5.698971#0.50000006#0.0
RAB5B#5.698971#0.50000006#0.0
CACYBP#5.698971#0.49999997#0.0
TGFB2#5.698971#0.49999997#0.0
PDZD11#5.698971#0.49999994#0.0
PIK3CA#5.698971#0.5000001#0.0
PCBP1#5.698971#0.5000001#0.0
KRTAP9-3#5.698971#0.5000002#0.0
TIMM9#5.698971#0.5000002#0.0
APOC3#5.698971#0.5000002#0.0
FOXD4L3#5.698971#0.5000002#0.0
OR2A42#5.698971#0.5000002#0.0
OR2A1#5.698971#0.5000002#0.0
SRGAP2B#5.698971#0.5000002#0.0
HLA-F#5.698971#0.49999994#0.0
SPOP#5.698971#0.49999994#0.0
DRD1#5.698971#0.5000001#0.0
GABARAP#5.698971#0.5000001#0.0
FXYD2#5.698971#0.49999985#0.0
YPEL1#5.698971#0.49999985#0.0
CXorf21#5.698971#0.50000006#0.0
BLOC1S6#5.698971#0.5#0.0
CXCR5#5.698971#0.5#0.0
PSMA4#5.698971#0.49999985#0.0
BRS3#5.698971#0.50000006#0.0
GPHA2#5.698971#0.49999985#0.0
BEX5#5.698971#0.5#0.0
CDKN2D#5.698971#0.50000006#0.0
GNGT1#5.698971#0.49999994#0.0
