#IAA,B#IAA,B_pos#IAA,B_nag
SUMF1#5.6990247#0.50006205#0.0
PRPSAP2#5.6989903#0.50002235#0.0
KCTD7#5.6989903#0.50002223#0.0
TSLP#5.6989903#0.50002223#0.0
TAS2R30#5.6989903#0.50002235#0.0
ZNF449#5.6989903#0.50002235#0.0
RBX1#5.6989903#0.5000226#0.0
PHF6#5.6989903#0.50002223#0.0
ST8SIA3#5.69899#0.50002193#0.0
C9orf92#5.69899#0.50002176#0.0
LYPD8#5.69899#0.5000217#0.0
SIX1#5.69899#0.50002176#0.0
LOC105371824#5.69899#0.50002193#0.0
UBE2G1#5.69899#0.50002176#0.0
OSER1#5.69899#0.50002176#0.0
EID1#5.69899#0.50002176#0.0
GAGE7#5.6989894#0.5000216#0.0
CYSTM1#5.6989894#0.50002146#0.0
GAGE12G#5.6989894#0.5000216#0.0
TTN-AS1#5.6989894#0.50002146#0.0
GAGE12F#5.6989894#0.5000216#0.0
LOC105377372#5.6989894#0.50002146#0.0
GAGE12E#5.6989894#0.5000216#0.0
POMP#5.6989894#0.5000216#0.0
GAGE4#5.6989894#0.5000216#0.0
GAGE12D#5.6989894#0.5000216#0.0
GAGE12I#5.6989894#0.5000216#0.0
DRG1#5.6989894#0.50002146#0.0
GAGE12C#5.6989894#0.5000216#0.0
GAGE12B#5.6989894#0.5000216#0.0
KCTD4#5.6989894#0.5000216#0.0
NUDT10#5.6989894#0.5000214#0.0
CFC1#5.6989894#0.5000216#0.0
SCAMP5#5.6989894#0.5000216#0.0
CFC1B#5.6989894#0.5000216#0.0
GAGE5#5.6989894#0.5000216#0.0
GAGE6#5.6989894#0.5000216#0.0
