#冠脉#冠脉_pos#冠脉_nag
DEFB113#5.699007#0.5000416#0.0
C17orf50#5.699007#0.5000416#0.0
E2F6#5.699005#0.5000396#0.0
BANF2#5.699005#0.5000396#0.0
UBE2E2#5.699005#0.5000396#0.0
UCMA#5.699005#0.5000396#0.0
TMEM262#5.699005#0.50003964#0.0
PHRF1#5.699003#0.5000374#0.0
WNT3A#5.699003#0.5000374#0.0
TAS2R43#5.699003#0.5000374#0.0
PATE4#5.699003#0.5000372#0.0
LHFPL6#5.699003#0.5000372#0.0
IFNGR2#5.699003#0.5000372#0.0
CXorf56#5.699003#0.5000374#0.0
TSR2#5.699003#0.50003743#0.0
KCNV1#5.699003#0.5000372#0.0
FAM237A#5.699003#0.5000371#0.0
NCDN#5.699003#0.5000371#0.0
PSMA6#5.699003#0.5000374#0.0
SMIM12#5.699003#0.5000374#0.0
