#TV#TV_pos#TV_nag
NUP62CL#5.698994#0.5000269#0.0
DNAJB4#5.6989937#0.5000263#0.0
CENPM#5.6989937#0.5000264#0.0
UBE2E3#5.6989775#0.5000077#0.0
ACBD7#5.6989756#0.5000051#0.0
PCYT1B#5.6989756#0.5000052#0.0
COA3#5.6989756#0.5000052#0.0
ACOT1#5.6989756#0.5000052#0.0
PPP2R2A#5.6989756#0.5000052#0.0
MED18#5.6989756#0.5000051#0.0
RBPMS2#5.698975#0.5000048#0.0
BCL2A1#5.698975#0.5000048#0.0
FBXL14#5.698975#0.50000477#0.0
PLAC8#5.698975#0.50000477#0.0
RGPD6#5.698975#0.50000477#0.0
TRAPPC3#5.698975#0.5000047#0.0
MRPL35#5.698975#0.5000048#0.0
UBE2B#5.698975#0.5000049#0.0
OR5V1#5.698975#0.500005#0.0
TMEM56-RWDD3#5.698975#0.50000477#0.0
GRAP#5.698975#0.5000049#0.0
BCL2L15#5.698975#0.5000049#0.0
SLC25A51#5.698975#0.50000477#0.0
RNF227#5.698975#0.50000477#0.0
C1orf43#5.698975#0.500005#0.0
SUCLA2#5.698975#0.50000495#0.0
ACOT6#5.698975#0.5000047#0.0
GOLGA8J#5.698975#0.5000049#0.0
EMC4#5.698975#0.5000049#0.0
DYNLT1#5.698975#0.5000049#0.0
COPS2#5.698975#0.5000047#0.0
AIG1#5.698975#0.500005#0.0
GOLGA8R#5.698975#0.5000049#0.0
ABHD17C#5.6989746#0.5000046#0.0
CTNNBIP1#5.6989746#0.5000046#0.0
CFP#5.6989746#0.5000046#0.0
REEP2#5.6989746#0.5000046#0.0
