#AS-COA#AS-COA_pos#AS-COA_nag
PSMD14#5.699075#0.5001202#0.0
MYCNOS#5.699075#0.5001202#0.0
SLFNL1-AS1#5.6990743#0.5001189#0.0
KRTAP19-2#5.6990743#0.5001189#0.0
INKA1#5.6990743#0.5001189#0.0
C5orf30#5.6990705#0.5001148#0.0
PROK2#5.6990705#0.5001148#0.0
KLRC1#5.6990705#0.5001148#0.0
NDUFC2-KCTD14#5.6990705#0.5001148#0.0
