#ebstain#ebstain_pos#ebstain_nag
C12orf76#5.6990094#0.50004417#0.0
COPS5#5.6990094#0.50004417#0.0
TRIM31#5.6990094#0.50004417#0.0
C5orf24#5.6990094#0.50004417#0.0
RAMMET#5.6990094#0.50004417#0.0
CDK1#5.6990094#0.50004417#0.0
CSF3#5.699009#0.50004405#0.0
OR5V1#5.699009#0.50004375#0.0
C1orf43#5.699009#0.50004375#0.0
ZDHHC9#5.699009#0.50004405#0.0
C1orf21#5.699008#0.50004256#0.0
NDUFB3#5.699008#0.50004256#0.0
JAM2#5.699008#0.50004256#0.0
RAB1B#5.699008#0.50004286#0.0
C5orf66#5.699008#0.50004286#0.0
PFDN2#5.699008#0.50004286#0.0
CDPF1#5.6990075#0.5000424#0.0
MZF1-AS1#5.6990075#0.5000424#0.0
CYP21A2#5.6990075#0.50004244#0.0
