#AVSD#AVSD_pos#AVSD_nag
TREX1#5.6989965#0.5000293#0.0
TMEM199#5.698984#0.50001514#0.0
BATF#5.698984#0.5000152#0.0
LSAMP#5.698984#0.5000154#0.0
ZNF81#5.698984#0.5000155#0.0
KLF7#5.698984#0.50001526#0.0
HIST1H2BC#5.698984#0.50001526#0.0
SIAH2#5.698984#0.50001514#0.0
UBB#5.698984#0.5000154#0.0
SF3B5#5.698971#0.5000001#0.0
CALM3#5.698971#0.4999997#0.0
PRPS2#5.698971#0.49999985#0.0
BCL2L2#5.698971#0.4999997#0.0
TONSL-AS1#5.698971#0.49999967#0.0
GRXCR1#5.698971#0.49999967#0.0
VDAC3#5.698971#0.49999964#0.0
IGFL1#5.698971#0.49999985#0.0
RBP2#5.698971#0.4999998#0.0
LOC107984974#5.698971#0.4999998#0.0
MMP24OS#5.698971#0.49999976#0.0
NUDT5#5.698971#0.49999964#0.0
TAS2R46#5.698971#0.5000001#0.0
HHLA3#5.698971#0.49999982#0.0
TCTEX1D1#5.698971#0.49999973#0.0
RGS1#5.698971#0.49999964#0.0
ALKBH5#5.698971#0.49999973#0.0
KRTAP12-3#5.698971#0.49999964#0.0
ARF5#5.698971#0.49999973#0.0
QKI#5.698971#0.49999967#0.0
LSM4#5.698971#0.49999988#0.0
GRB2#5.698971#0.4999997#0.0
POLR2J#5.698971#0.49999973#0.0
GPR88#5.698971#0.4999997#0.0
MORN2#5.698971#0.4999997#0.0
MFAP4#5.698971#0.49999964#0.0
IFITM1#5.698971#0.49999976#0.0
CPLX3#5.698971#0.49999964#0.0
HIST1H3C#5.698971#0.49999976#0.0
LYRM7#5.698971#0.49999967#0.0
SF3B4#5.698971#0.49999976#0.0
RPS14#5.698971#0.4999997#0.0
TMEM182#5.698971#0.49999964#0.0
MED7#5.698971#0.49999964#0.0
TMEM101#5.698971#0.4999997#0.0
SPACA4#5.698971#0.4999997#0.0
GJA9#5.6989703#0.49999952#0.0
C16orf87#5.6989703#0.49999958#0.0
CDC42#5.6989703#0.49999958#0.0
MYL12B#5.6989703#0.49999958#0.0
WNT6#5.6989703#0.4999996#0.0
GNG5#5.6989703#0.4999994#0.0
HBA2#5.6989703#0.4999994#0.0
HMGN1#5.6989703#0.4999996#0.0
SLC25A44#5.6989703#0.49999952#0.0
SPDYE2#5.6989703#0.49999955#0.0
SPDYE2B#5.6989703#0.49999955#0.0
TFF3#5.6989703#0.49999955#0.0
KCNIP2-AS1#5.6989703#0.49999952#0.0
DNAJC5#5.6989703#0.4999996#0.0
NAA50#5.6989703#0.49999952#0.0
OR1J4#5.6989703#0.4999996#0.0
PEX13#5.6989703#0.4999996#0.0
