#心外#心外_pos#心外_nag
ZNF385D#5.6989794#0.50000983#0.0
NDUFS8#5.6989794#0.5000099#0.0
C12orf71#5.6989765#0.5000062#0.0
CCT7#5.6989765#0.5000062#0.0
MTERF3#5.6989765#0.5000062#0.0
HS3ST1#5.6989765#0.5000062#0.0
MAPK14#5.698976#0.50000614#0.0
YY1#5.698976#0.5000061#0.0
WISP3#5.698976#0.50000614#0.0
PAX6#5.698976#0.50000614#0.0
IL36G#5.698976#0.50000614#0.0
LRRC4#5.6989727#0.50000226#0.0
EIF3J#5.6989727#0.5000022#0.0
ERP29#5.6989727#0.50000226#0.0
C12orf65#5.6989727#0.50000226#0.0
HIST1H3A#5.6989727#0.5000022#0.0
AMD1#5.6989727#0.50000226#0.0
CTCF#5.6989727#0.50000226#0.0
TIMP2#5.6989727#0.50000226#0.0
SKP2#5.6989727#0.50000226#0.0
CRY1#5.6989727#0.50000226#0.0
RPL22#5.6989727#0.5000023#0.0
MDH2#5.6989727#0.50000226#0.0
BCAS2#5.6989727#0.5000023#0.0
ZNF490#5.6989727#0.5000022#0.0
ZC3H15#5.6989727#0.5000023#0.0
TMEM11#5.6989727#0.5000022#0.0
MGMT#5.6989727#0.5000023#0.0
PRR32#5.6989727#0.5000022#0.0
MLEC#5.6989727#0.5000022#0.0
PYY#5.6989727#0.50000226#0.0
CCDC85B#5.6989694#0.49999806#0.0
RBAK-RBAKDN#5.6989694#0.499998#0.0
MTMR10#5.6989694#0.499998#0.0
TMEM185A#5.6989694#0.499998#0.0
PPIL3#5.6989694#0.499998#0.0
UBA5#5.6989694#0.49999806#0.0
SMIM1#5.6989694#0.499998#0.0
CRIPT#5.6989694#0.49999803#0.0
UBE2L6#5.6989694#0.499998#0.0
MMGT1#5.6989694#0.499998#0.0
NEUROD6#5.6989694#0.49999806#0.0
RPL15#5.6989694#0.499998#0.0
RRM2B#5.6989694#0.499998#0.0
PRR20G#5.6989694#0.499998#0.0
LAS1L#5.6989694#0.499998#0.0
NRAS#5.6989694#0.499998#0.0
AQP3#5.6989694#0.499998#0.0
CENPS#5.698969#0.49999797#0.0
ABHD13#5.698969#0.49999797#0.0
RER1#5.698969#0.49999797#0.0
NNAT#5.698969#0.49999794#0.0
DTD2#5.698969#0.49999794#0.0
OR10AC1#5.698969#0.49999794#0.0
COX14#5.698969#0.49999794#0.0
THTPA#5.698969#0.49999794#0.0
RNF122#5.698969#0.49999794#0.0
LILRB3#5.698969#0.49999794#0.0
PRCD#5.698969#0.49999797#0.0
BLOC1S1#5.698969#0.49999794#0.0
USP18#5.698969#0.49999794#0.0
CDK2AP1#5.698969#0.49999797#0.0
MYF5#5.698969#0.49999794#0.0
ELF4#5.698969#0.49999794#0.0
PPP1R3C#5.698969#0.49999797#0.0
PITX1#5.698969#0.49999797#0.0
KLRC4#5.698969#0.49999794#0.0
FAM183A#5.698969#0.49999797#0.0
TRMT2B#5.698969#0.49999797#0.0
KLHL11#5.698969#0.49999794#0.0
LTC4S#5.698969#0.4999979#0.0
EIF4EBP3#5.698969#0.49999797#0.0
HIST1H2BO#5.698969#0.49999797#0.0
TSPAN17#5.698969#0.49999794#0.0
PIANP#5.698969#0.4999979#0.0
PRMT1#5.698969#0.49999794#0.0
SNCB#5.698969#0.49999794#0.0
RPL24#5.698969#0.4999979#0.0
IRF1#5.698969#0.49999797#0.0
PPM1G#5.698969#0.49999797#0.0
CALML5#5.698969#0.49999797#0.0
CXXC5#5.698969#0.49999797#0.0
SIAH2#5.698969#0.4999979#0.0
SYNGR3#5.698969#0.49999797#0.0
CACNG2#5.698969#0.49999794#0.0
IMMP1L#5.698969#0.4999979#0.0
PDIK1L#5.698969#0.49999794#0.0
PTGES3#5.698969#0.4999979#0.0
PRKACB#5.698969#0.49999794#0.0
PNP#5.698969#0.49999797#0.0
LOC102724265#5.698969#0.49999788#0.0
TAF13#5.698969#0.49999797#0.0
UCHL1#5.698969#0.49999797#0.0
MPC1#5.698969#0.49999797#0.0
MLF2#5.698969#0.49999794#0.0
HSPB6#5.698969#0.49999794#0.0
C16orf87#5.698964#0.499992#0.0
PCLAF#5.698964#0.499992#0.0
IL22#5.698964#0.499992#0.0
RAB1B#5.698964#0.49999195#0.0
SMC1A#5.698964#0.49999198#0.0
CBX6#5.698964#0.49999198#0.0
NCALD#5.698964#0.499992#0.0
C5orf58#5.698964#0.499992#0.0
CDC42#5.698964#0.499992#0.0
FXYD1#5.698964#0.49999204#0.0
TEX12#5.698964#0.499992#0.0
FBXL14#5.698964#0.499992#0.0
RGPD6#5.698964#0.499992#0.0
HIST1H3F#5.698964#0.499992#0.0
COMMD2#5.698964#0.49999195#0.0
BOD1#5.698964#0.49999195#0.0
CCL2#5.698964#0.49999195#0.0
PLAC8#5.698964#0.499992#0.0
MAP1LC3A#5.698964#0.49999204#0.0
IKBKG#5.698964#0.499992#0.0
KRT34#5.698964#0.49999195#0.0
TMX1#5.698964#0.49999198#0.0
UQCR10#5.698964#0.49999204#0.0
TMEM150B#5.698964#0.49999195#0.0
