#PA#PA_pos#PA_nag
PPP2R2A#5.6990027#0.50003666#0.0
ACOT1#5.6990027#0.50003666#0.0
COA3#5.6990027#0.50003666#0.0
PPP2R1A#5.699002#0.5000357#0.0
MEIG1#5.699002#0.5000355#0.0
FAM72A#5.699001#0.5000347#0.0
FBXW11#5.699001#0.5000347#0.0
TAC1#5.699001#0.50003433#0.0
PTH#5.699001#0.5000346#0.0
HIST3H2A#5.6990004#0.500034#0.0
PLEKHB2#5.6990004#0.500034#0.0
UPRT#5.6990004#0.5000339#0.0
MRPL35#5.699#0.50003344#0.0
