#PA-vsd#PA-vsd_pos#PA-vsd_nag
LLPH#5.6989875#0.5000189#0.0
HIGD2A#5.698987#0.5000186#0.0
LYN#5.698987#0.5000183#0.0
ZFY#5.698987#0.5000186#0.0
ABRACL#5.698987#0.5000186#0.0
GTF2H5#5.698987#0.5000187#0.0
EXOSC1#5.698987#0.5000187#0.0
CHIC2#5.698987#0.50001836#0.0
DRG2#5.698987#0.5000187#0.0
CLNS1A#5.698987#0.50001836#0.0
MYOD1#5.698987#0.5000183#0.0
PSMA2#5.698987#0.5000183#0.0
BTF3L4#5.6989865#0.50001806#0.0
RETN#5.6989865#0.5000179#0.0
C8orf44#5.6989865#0.50001806#0.0
ESRRG#5.6989865#0.50001806#0.0
SOD1#5.6989865#0.50001806#0.0
NCK2#5.6989865#0.5000181#0.0
TP53INP1#5.6989865#0.5000181#0.0
PPCS#5.6989865#0.500018#0.0
HIST1H4E#5.6989865#0.5000178#0.0
ACTR3B#5.6989865#0.5000178#0.0
ATF1#5.6989865#0.5000178#0.0
RPS4X#5.6989865#0.5000178#0.0
FMC1#5.6989865#0.500018#0.0
PLEKHF2#5.6989865#0.50001806#0.0
BBIP1#5.6989865#0.50001824#0.0
RHBDL3#5.6989865#0.5000179#0.0
CXCL5#5.6989865#0.5000179#0.0
