#AVSD.1#AVSD.1_pos#AVSD.1_nag
URM1#5.6989837#0.50001496#0.0
SIAH2#5.698976#0.5000059#0.0
BLOC1S1#5.698976#0.500006#0.0
KLF7#5.698976#0.500006#0.0
LSAMP#5.698976#0.500006#0.0
CENPS#5.698976#0.50000596#0.0
IDI1#5.698976#0.5000061#0.0
BATF#5.698976#0.500006#0.0
ZNF81#5.698976#0.5000061#0.0
RPL8#5.698976#0.5000061#0.0
RPL37A#5.698976#0.500006#0.0
UCHL1#5.698976#0.500006#0.0
CYTH1#5.698976#0.50000614#0.0
HIST1H2BC#5.698976#0.50000596#0.0
YAF2#5.698967#0.49999553#0.0
LOC104968399#5.698967#0.49999544#0.0
SPDYE2B#5.698967#0.49999538#0.0
MYL12B#5.698967#0.49999544#0.0
RBP2#5.698967#0.49999547#0.0
PRR7#5.698967#0.4999955#0.0
RABAC1#5.698967#0.49999553#0.0
MAP1LC3A#5.698967#0.4999956#0.0
TFF3#5.698967#0.49999538#0.0
GNG2#5.698967#0.49999547#0.0
PIP4P2#5.698967#0.49999547#0.0
CDC42#5.698967#0.49999544#0.0
KRTAP12-3#5.698967#0.49999544#0.0
TGFB2#5.698967#0.49999547#0.0
CACYBP#5.698967#0.49999547#0.0
GRB2#5.698967#0.4999955#0.0
GJA9#5.698967#0.49999532#0.0
C20orf202#5.698967#0.4999955#0.0
SF3B5#5.698967#0.49999568#0.0
SLC25A44#5.698967#0.49999532#0.0
TAS2R46#5.698967#0.49999568#0.0
MMP24OS#5.698967#0.49999553#0.0
SPDYE2#5.698967#0.49999538#0.0
HMGN3#5.698967#0.4999955#0.0
C5orf58#5.698967#0.49999547#0.0
NCALD#5.698967#0.49999547#0.0
LAMTOR3#5.698967#0.49999553#0.0
APOLD1#5.698967#0.4999955#0.0
HHLA3#5.698967#0.49999556#0.0
KCNIP2-AS1#5.698967#0.49999532#0.0
LOC107984974#5.698967#0.49999547#0.0
WNT6#5.698967#0.49999547#0.0
SNURF#5.698967#0.4999955#0.0
NAA50#5.698967#0.49999532#0.0
MFAP4#5.698967#0.49999547#0.0
CPLX3#5.698967#0.49999547#0.0
IKBKG#5.698967#0.4999955#0.0
RGS1#5.698967#0.49999547#0.0
LYRM7#5.698967#0.49999556#0.0
HIST1H3F#5.698967#0.4999955#0.0
QKI#5.698967#0.49999556#0.0
PRPS2#5.698967#0.49999556#0.0
IGFL1#5.698967#0.49999538#0.0
CALM3#5.698967#0.49999535#0.0
TCTEX1D1#5.698967#0.49999553#0.0
TEX12#5.698967#0.4999955#0.0
BCL2L2#5.698967#0.49999535#0.0
C16orf87#5.698967#0.49999544#0.0
POTED#5.698967#0.4999955#0.0
HSFX4#5.698967#0.4999955#0.0
ARF5#5.698967#0.49999544#0.0
NLRP2B#5.698967#0.4999955#0.0
RHOB#5.698967#0.49999553#0.0
NUDT5#5.698967#0.49999544#0.0
BAG5#5.698967#0.49999556#0.0
NPPC#5.698967#0.49999544#0.0
LOC101928436#5.698967#0.49999553#0.0
KCNA1#5.698967#0.49999553#0.0
FAM110B#5.698967#0.49999553#0.0
DEFB109B#5.698967#0.49999553#0.0
ADAT2#5.698967#0.4999955#0.0
C11orf96#5.698967#0.49999553#0.0
CXorf21#5.698967#0.49999538#0.0
ACTC1#5.698967#0.49999553#0.0
VDAC3#5.698967#0.49999544#0.0
FAM86B1#5.698967#0.49999556#0.0
RAP2A#5.698967#0.49999544#0.0
MED7#5.698967#0.49999544#0.0
GOLGA7#5.698967#0.4999956#0.0
IFITM1#5.698967#0.49999544#0.0
HYPK#5.698967#0.4999955#0.0
TMSB15A#5.698967#0.49999568#0.0
MT1F#5.698967#0.49999553#0.0
DNAJC5#5.698967#0.49999544#0.0
HMGN1#5.698967#0.49999544#0.0
POLR2J#5.698967#0.49999553#0.0
ZNF664-RFLNA#5.698967#0.49999556#0.0
RFLNA#5.698967#0.49999556#0.0
CTSG#5.698967#0.49999556#0.0
VAPB#5.698967#0.49999568#0.0
TMEM182#5.698967#0.49999544#0.0
CDK2AP2#5.698967#0.49999562#0.0
OR1J4#5.698967#0.4999955#0.0
SF3B4#5.698967#0.49999544#0.0
ALKBH5#5.698967#0.49999553#0.0
HIST1H3C#5.698967#0.49999544#0.0
ITGB3BP#5.698967#0.4999955#0.0
