#PS#PS_pos#PS_nag
OR4C3#5.698979#0.500009#0.0
KLRF1#5.698979#0.50000936#0.0
C12orf76#5.698979#0.5000091#0.0
C5orf24#5.698979#0.5000091#0.0
MED18#5.698979#0.50000924#0.0
ACBD7#5.698979#0.50000924#0.0
H2AFV#5.698979#0.500009#0.0
PCYT1B#5.698979#0.50000936#0.0
PRM1#5.698979#0.50000924#0.0
SUCLA2#5.698979#0.50000924#0.0
AIG1#5.698979#0.5000091#0.0
TRIM31#5.698979#0.5000091#0.0
CTNNBIP1#5.6989784#0.5000088#0.0
ABHD17C#5.6989784#0.5000088#0.0
USP46#5.6989784#0.50000894#0.0
TEX48#5.6989784#0.5000087#0.0
YWHAZ#5.6989784#0.5000087#0.0
RAB1B#5.6989784#0.50000876#0.0
UBE2B#5.6989784#0.50000894#0.0
PFDN2#5.6989784#0.50000876#0.0
C5orf66#5.6989784#0.50000876#0.0
PKIG#5.6989784#0.50000894#0.0
MBLAC2#5.6989784#0.50000894#0.0
SERPINF2#5.6989784#0.50000894#0.0
CEBPB#5.6989784#0.50000894#0.0
COPS2#5.6989784#0.50000876#0.0
ACOT6#5.6989784#0.50000876#0.0
RPL36A#5.6989784#0.50000894#0.0
RNF146#5.6989784#0.50000894#0.0
RPL36A-HNRNPH2#5.6989784#0.50000894#0.0
MOB3C#5.6989784#0.50000846#0.0
