#AS#AS_pos#AS_nag
PFDN4#5.6990786#0.5001242#0.0
SKP1#5.6990786#0.5001242#0.0
RAB2A#5.699074#0.5001187#0.0
RHEB#5.699074#0.5001187#0.0
PRAP1#5.699073#0.5001175#0.0
CLDN34#5.69907#0.500114#0.0
