#ASD#ASD_pos#ASD_nag
RPL37A#5.6989822#0.50001305#0.0
SIAH2#5.6989822#0.50001293#0.0
CYTH1#5.6989822#0.50001323#0.0
HIST1H2BC#5.6989822#0.50001305#0.0
SNCB#5.6989822#0.5000132#0.0
TXNRD3NB#5.69897#0.49999878#0.0
CTSG#5.69897#0.49999875#0.0
BAG5#5.69897#0.49999875#0.0
MED7#5.69897#0.49999878#0.0
VDAC3#5.69897#0.49999878#0.0
NUDT5#5.69897#0.49999878#0.0
C20orf202#5.69897#0.49999866#0.0
WNT6#5.69897#0.49999866#0.0
POTED#5.69897#0.49999866#0.0
MYL12B#5.69897#0.49999866#0.0
ZSCAN4#5.69897#0.49999878#0.0
DNAJC5#5.69897#0.49999863#0.0
KCNA1#5.69897#0.4999988#0.0
FAM110B#5.69897#0.4999988#0.0
DEFB109B#5.69897#0.4999988#0.0
HHLA3#5.69897#0.49999884#0.0
KRTAP12-3#5.69897#0.49999863#0.0
LOC104968399#5.69897#0.49999857#0.0
ARF5#5.69897#0.4999987#0.0
TMEM182#5.69897#0.49999878#0.0
C11orf96#5.69897#0.49999863#0.0
HMGN1#5.69897#0.49999863#0.0
PRR7#5.69897#0.49999872#0.0
CDC42#5.69897#0.49999863#0.0
C16orf87#5.69897#0.49999863#0.0
GOLGA7#5.69897#0.49999875#0.0
HIST1H4H#5.69897#0.49999878#0.0
PTH#5.69897#0.49999884#0.0
LSM4#5.69897#0.49999884#0.0
NFYC#5.69897#0.4999988#0.0
KLF6#5.69897#0.4999988#0.0
TMEM116#5.69897#0.49999872#0.0
GABRA5#5.69897#0.49999872#0.0
MT1F#5.69897#0.49999866#0.0
SF3B4#5.69897#0.49999872#0.0
KCNJ8#5.69897#0.49999884#0.0
HIST1H3C#5.69897#0.49999872#0.0
GUCA1A#5.69897#0.4999986#0.0
IFITM1#5.69897#0.49999872#0.0
RHOB#5.69897#0.49999863#0.0
OR1J4#5.69897#0.4999986#0.0
ADAT2#5.69897#0.4999988#0.0
HMHB1#5.69897#0.49999866#0.0
HSPB11#5.69897#0.4999988#0.0
APOLD1#5.69897#0.49999872#0.0
CXCR4#5.69897#0.49999875#0.0
SNURF#5.69897#0.49999872#0.0
LYRM7#5.69897#0.49999878#0.0
SNRNP27#5.69897#0.49999896#0.0
QKI#5.69897#0.49999878#0.0
ARPC5L#5.69897#0.49999866#0.0
HMGN3#5.69897#0.49999872#0.0
