#VSD+#VSD+_pos#VSD+_nag
KRTAP22-2#4.0197115#0.010463327#0.0
PRR20G#4.019655#0.010461971#0.0
CAPNS2#4.019613#0.010460957#0.0
NNAT#4.0194902#0.0104580065#0.0
SPRR2F#4.0190997#0.010448606#0.0
SNX24#4.0190997#0.010448606#0.0
STK38L#4.018871#0.010443096#0.0
CRABP2#4.018871#0.010443096#0.0
NDUFB4#4.018871#0.010443096#0.0
CRCP#4.018761#0.010440457#0.0
ARF4#4.018761#0.010440457#0.0
DDA1#4.018761#0.010440457#0.0
RAB3A#4.018761#0.010440457#0.0
DEFA5#4.0187488#0.010440157#0.0
HIST1H2AI#4.0187407#0.01043997#0.0
Mar_05#4.0187407#0.01043997#0.0
HSBP1#4.0187407#0.01043997#0.0
ZC4H2#4.0187407#0.01043997#0.0
MAFB#4.0187387#0.0104399165#0.0
FAM168A#4.0187373#0.0104398895#0.0
MEIG1#4.018714#0.010439324#0.0
MTRNR2L9#4.018713#0.010439299#0.0
SHTN1#4.018713#0.010439299#0.0
ERH#4.0187035#0.0104390755#0.0
VMAC#4.0186977#0.010438929#0.0
TENT5D#4.0186977#0.010438929#0.0
MRPL51#4.0186954#0.010438881#0.0
TXNDC8#4.0186954#0.010438881#0.0
LHFPL1#4.0186934#0.010438832#0.0
ACACA#4.0186934#0.010438832#0.0
BOLA3#4.018686#0.010438642#0.0
SPIN3#4.018686#0.010438642#0.0
LSM5#4.018686#0.010438642#0.0
INSIG2#4.018684#0.010438595#0.0
MAP3K8#4.0186768#0.010438431#0.0
MRPS36#4.0186553#0.01043791#0.0
KRT34#4.0186553#0.01043791#0.0
NPY4R#4.0186553#0.01043791#0.0
TMEM150B#4.0186553#0.01043791#0.0
TMEM155#4.0186524#0.010437845#0.0
TMUB1#4.0186524#0.010437845#0.0
NXT1#4.018647#0.010437714#0.0
PDPK1#4.018647#0.010437714#0.0
IGFBP1#4.018647#0.010437714#0.0
HMSD#4.0186443#0.010437649#0.0
RAB33A#4.018607#0.010436761#0.0
C11orf52#4.018607#0.010436761#0.0
CPEB4#4.018607#0.010436761#0.0
TSPEAR-AS1#4.0181847#0.010426608#0.0
