#PA-vsd#PA-vsd_pos#PA-vsd_nag
LLPH#4.019238#0.010451926#0.0
PSMA2#4.0191307#0.01044935#0.0
CLNS1A#4.0191236#0.010449178#0.0
CHIC2#4.0191236#0.010449178#0.0
HIGD2A#4.0191193#0.010449075#0.0
ABRACL#4.0191193#0.010449075#0.0
ZFY#4.0191193#0.010449075#0.0
DRG2#4.0191097#0.010448839#0.0
GTF2H5#4.0191097#0.010448839#0.0
EXOSC1#4.0191097#0.010448839#0.0
LYN#4.019107#0.0104487715#0.0
SOD1#4.0190997#0.010448606#0.0
C8orf44#4.0190997#0.010448606#0.0
BTF3L4#4.0190997#0.010448606#0.0
MYOD1#4.0190945#0.0104484735#0.0
BBIP1#4.019088#0.0104483105#0.0
CXCL5#4.019081#0.010448149#0.0
RHBDL3#4.019081#0.010448149#0.0
NCK2#4.0190597#0.010447643#0.0
TP53INP1#4.0190597#0.010447643#0.0
PLEKHF2#4.019052#0.010447457#0.0
ESRRG#4.019052#0.010447457#0.0
PPCS#4.0190496#0.010447396#0.0
RETN#4.0190444#0.010447274#0.0
HIST1H4E#4.0190225#0.010446737#0.0
ACTR3B#4.0190225#0.010446737#0.0
ATF1#4.0190225#0.010446737#0.0
RPS4X#4.0190225#0.010446737#0.0
FMC1#4.018406#0.010431926#0.0
