#DORV#DORV_pos#DORV_nag
AKR1B1#4.020088#0.010472413#0.0
TEX22#4.019294#0.010453269#0.0
RGCC#4.0192847#0.010453057#0.0
TMEM167B#4.0192785#0.010452906#0.0
RNF7#4.0186086#0.010436787#0.0
VAPB#4.0185995#0.010436574#0.0
TMSB15A#4.0185995#0.010436574#0.0
RAB5A#4.0185843#0.010436205#0.0
ACER3#4.0185843#0.010436205#0.0
DIRC1#4.018528#0.010434856#0.0
MRPL34#4.018528#0.010434856#0.0
PEA15#4.018527#0.010434836#0.0
TOMM34#4.018527#0.010434836#0.0
AIG1#4.018524#0.010434758#0.0
ACTL6A#4.018522#0.0104347#0.0
TMX1#4.018522#0.0104347#0.0
RBM22#4.018522#0.0104347#0.0
MT1F#4.018517#0.010434585#0.0
C1orf122#4.0185122#0.010434471#0.0
RHOC#4.0185122#0.010434471#0.0
HBZ#4.0185122#0.010434471#0.0
RAN#4.0185103#0.010434434#0.0
TMEM159#4.0185065#0.010434341#0.0
TIMM8B#4.0185065#0.010434341#0.0
PON2#4.0185065#0.010434341#0.0
H1FX#4.018499#0.010434157#0.0
TMEM170A#4.018499#0.010434157#0.0
OXT#4.0184975#0.010434121#0.0
MYCBP#4.0184965#0.010434102#0.0
PYCARD#4.018487#0.010433871#0.0
KRTCAP3#4.0184855#0.010433836#0.0
MYCT1#4.0184855#0.010433836#0.0
IGSF23#4.0184855#0.010433836#0.0
CCL11#4.0184855#0.010433836#0.0
TEX13D#4.0184855#0.010433836#0.0
WFDC11#4.0184855#0.010433836#0.0
RAB10#4.0184646#0.010433326#0.0
KCNIP4#4.0184646#0.010433326#0.0
ATP5MC2#4.0184517#0.010433017#0.0
RPL32#4.01844#0.010432736#0.0
RAC1#4.01844#0.010432736#0.0
RPL36#4.0183167#0.010429779#0.0
C18orf32#4.018173#0.01042633#0.0
LOC100131047#4.0181417#0.010425578#0.0
GNG10#4.0181246#0.010425163#0.0
ZSCAN16-AS1#4.018107#0.010424737#0.0
