#ASD+#ASD+_pos#ASD+_nag
SNRNP27#4.024148#0.010570775#0.0
HIST1H4H#4.023558#0.0105564315#0.0
ARPC5L#4.0232124#0.010548033#0.0
HMHB1#4.0232124#0.010548033#0.0
