#导管弓#导管弓_pos#导管弓_nag
GYPE#4.018953#0.010445062#0.0
NEUROD6#4.0188828#0.010443377#0.0
MYLIP#4.0188713#0.010443102#0.0
UTP23#4.0188117#0.010441678#0.0
DDX3X#4.0187974#0.010441332#0.0
ARL13A#4.0187964#0.010441312#0.0
CRABP2#4.018411#0.010432051#0.0
NDUFB4#4.018411#0.010432051#0.0
STK38L#4.018411#0.010432051#0.0
TEX12#4.018382#0.010431346#0.0
PLLP#4.0183754#0.0104311835#0.0
FAM50A#4.018368#0.010431008#0.0
OTX2#4.018368#0.010431008#0.0
STRAP#4.0183434#0.0104304245#0.0
CRABP1#4.0183434#0.0104304245#0.0
BAG5#4.018341#0.010430361#0.0
CTSG#4.018341#0.010430361#0.0
NKRF#4.0183377#0.010430282#0.0
E2F6#4.018331#0.010430127#0.0
BANF2#4.018331#0.010430127#0.0
UBE2E2#4.018331#0.010430127#0.0
UCMA#4.018331#0.010430127#0.0
MAP1LC3A#4.0183167#0.010429784#0.0
TSPAN14#4.0183153#0.01042974#0.0
PCBP2#4.0183086#0.010429583#0.0
CFAP20#4.0183#0.010429374#0.0
MAP3K8#4.0182977#0.01042932#0.0
HPF1#4.0182977#0.01042932#0.0
DIRAS2#4.0182977#0.01042932#0.0
LAMTOR2#4.0182977#0.01042932#0.0
ECSCR#4.0182977#0.01042932#0.0
FAM86B1#4.018295#0.010429252#0.0
CHIC2#4.018294#0.010429225#0.0
CLNS1A#4.018294#0.010429225#0.0
LY6D#4.0182915#0.010429172#0.0
NDUFA4#4.0182915#0.010429172#0.0
UBL4A#4.0182915#0.010429172#0.0
PTH#4.0182867#0.010429054#0.0
TVP23B#4.0182853#0.0104290275#0.0
CENPS#4.018282#0.010428939#0.0
JUN#4.0182805#0.010428912#0.0
METTL14#4.0182805#0.010428912#0.0
SLC52A3#4.0182805#0.010428912#0.0
ITGB3BP#4.01828#0.0104289#0.0
NLRP2B#4.01828#0.0104289#0.0
HYPK#4.01828#0.0104289#0.0
TMEM265#4.0182757#0.010428798#0.0
SPAG11B#4.0182757#0.010428798#0.0
IGSF23#4.018274#0.010428749#0.0
CCL11#4.018274#0.010428749#0.0
WFDC11#4.018274#0.010428749#0.0
TEX13D#4.018274#0.010428749#0.0
MYCT1#4.018274#0.010428749#0.0
KRTCAP3#4.018274#0.010428749#0.0
SRF#4.018267#0.01042859#0.0
TOB2#4.018267#0.01042859#0.0
CXCR4#4.0182576#0.010428364#0.0
MAGEB5#4.018256#0.010428319#0.0
SIVA1#4.018254#0.010428272#0.0
RFLNA#4.0180283#0.010422854#0.0
ZNF664-RFLNA#4.0180283#0.010422854#0.0
TGIF2-C20orf24#4.018027#0.010422814#0.0
LOC104968399#4.0180206#0.010422665#0.0
