#VSD#VSD_pos#VSD_nag
GHRH#4.0184984#0.010434143#0.0
LYZL4#4.018433#0.010432577#0.0
DDX47#4.0184245#0.010432373#0.0
SLC25A30#4.0183806#0.010431315#0.0
TUBB4B#4.018379#0.010431285#0.0
YIPF7#4.018363#0.010430892#0.0
ATG7#4.0183425#0.010430396#0.0
NOV#4.018327#0.010430031#0.0
DNAJA4#4.0183268#0.010430018#0.0
GNG8#4.018317#0.010429795#0.0
CTPS1#4.0183163#0.010429762#0.0
SERPINH1#4.018312#0.01042967#0.0
HIF3A#4.0183086#0.010429589#0.0
RPL22L1#4.0183086#0.010429586#0.0
PTCD2#4.018308#0.010429573#0.0
QRFP#4.018306#0.010429518#0.0
MYBL1#4.0183015#0.010429408#0.0
SP140L#4.0183005#0.010429392#0.0
N6AMT1#4.0182986#0.0104293395#0.0
HTR1D#4.018294#0.010429225#0.0
MACROD1#4.018245#0.010428058#0.0
ZNF248#4.018244#0.010428028#0.0
LCE1B#4.0182433#0.010428014#0.0
TP53AIP1#4.018243#0.010428008#0.0
FXN#4.0182385#0.010427898#0.0
PDCD1LG2#4.0182366#0.010427855#0.0
KCNN4#4.0182343#0.010427795#0.0
PRG3#4.0182333#0.010427773#0.0
FN3KRP#4.0182333#0.010427773#0.0
OR51I2#4.01823#0.010427698#0.0
OR52J3#4.0182285#0.010427666#0.0
NOL12#4.0182233#0.010427532#0.0
VGLL3#4.0182185#0.010427415#0.0
PSMD8#4.018207#0.010427146#0.0
CRTC1#4.0181904#0.010426739#0.0
HINFP#4.018186#0.010426644#0.0
TRIM25#4.018184#0.010426591#0.0
LHX8#4.0181823#0.010426545#0.0
TFAP2C#4.0181775#0.010426433#0.0
DDX19A#4.018177#0.010426429#0.0
OR2K2#4.0181766#0.010426415#0.0
ELAC1#4.0181746#0.010426361#0.0
SPATA2#4.018173#0.010426336#0.0
SLC16A4#4.018173#0.010426331#0.0
ACVR2B#4.0181727#0.010426326#0.0
CDK9#4.0181723#0.010426307#0.0
C22orf24#4.018171#0.01042627#0.0
OSGEP#4.0181704#0.010426261#0.0
TATDN1#4.0181675#0.0104261935#0.0
SERPINB2#4.0181665#0.010426177#0.0
LRG1#4.018164#0.010426109#0.0
OCEL1#4.018164#0.0104261115#0.0
HOXB6#4.0181613#0.010426051#0.0
SCRN1#4.018161#0.01042603#0.0
IFIT5#4.018159#0.0104259895#0.0
CSNK1G3#4.0181575#0.0104259495#0.0
ANHX#4.018155#0.010425896#0.0
RBM4B#4.0181537#0.010425866#0.0
LHPP#4.018128#0.010425243#0.0
TNNI2#4.018116#0.0104249595#0.0
UBALD2#4.0181136#0.010424897#0.0
CABYR#4.0181108#0.010424836#0.0
HIBCH#4.0181103#0.01042482#0.0
ZNF250#4.01811#0.0104248095#0.0
GTF2H3#4.01811#0.010424808#0.0
TSPAN15#4.018109#0.010424783#0.0
ZCCHC24#4.018108#0.010424765#0.0
OR1J2#4.0181074#0.010424754#0.0
ADIPOR2#4.0181074#0.010424752#0.0
RPA2#4.018107#0.010424743#0.0
SPATA31D3#4.018107#0.010424738#0.0
DUSP19#4.0181065#0.010424732#0.0
PAN3#4.018106#0.0104247155#0.0
RTRAF#4.0181055#0.010424702#0.0
PANK3#4.0181046#0.010424678#0.0
C16orf70#4.018104#0.0104246745#0.0
FAIM#4.018103#0.010424651#0.0
LYSMD3#4.018103#0.010424651#0.0
CD86#4.018101#0.010424606#0.0
MAF#4.018101#0.010424599#0.0
PLD6#4.0181#0.010424566#0.0
TGFB3#4.0180993#0.010424555#0.0
CNFN#4.018099#0.010424547#0.0
HSPB2#4.018099#0.01042455#0.0
CTHRC1#4.0180984#0.0104245385#0.0
BEND5#4.018098#0.010424526#0.0
ZWINT#4.018098#0.010424529#0.0
MVK#4.0180974#0.0104245115#0.0
CD84#4.0180964#0.010424491#0.0
HNRNPLL#4.018096#0.010424472#0.0
DNAJC15#4.018096#0.010424473#0.0
DEFB114#4.018095#0.010424457#0.0
MOSPD2#4.0180936#0.010424426#0.0
ORMDL3#4.0180917#0.010424379#0.0
VPS26B#4.0180907#0.010424352#0.0
FGF17#4.0180874#0.010424276#0.0
SMC3#4.0180836#0.01042418#0.0
HAUS4#4.018083#0.010424169#0.0
NAPB#4.0180693#0.010423841#0.0
LSMEM1#4.0180545#0.01042348#0.0
AMTN#4.0180535#0.010423458#0.0
OR8H3#4.0180507#0.010423391#0.0
AQP11#4.0180492#0.010423358#0.0
SAMD10#4.0180473#0.010423313#0.0
IL1RAPL2#4.0180473#0.010423313#0.0
GNAT2#4.018046#0.010423272#0.0
TMEM223#4.018046#0.010423272#0.0
CDC26#4.018046#0.010423274#0.0
RNASE7#4.018045#0.010423258#0.0
PFDN5#4.0180426#0.010423201#0.0
OTUB1#4.018042#0.010423185#0.0
DNAJA2#4.0180416#0.010423169#0.0
HYAL2#4.0180416#0.01042317#0.0
DIRAS3#4.0180416#0.010423171#0.0
EMP2#4.018041#0.010423157#0.0
UBE2R2#4.01804#0.010423142#0.0
CSTA#4.0180397#0.010423125#0.0
TMEM30A#4.0180397#0.010423128#0.0
SYT3#4.018039#0.010423115#0.0
NKX2-6#4.018039#0.01042312#0.0
NCR3LG1#4.018039#0.01042311#0.0
AKAIN1#4.0180383#0.010423091#0.0
OR56A5#4.018038#0.010423083#0.0
OR5H2#4.018038#0.010423081#0.0
CORO2B#4.018037#0.010423063#0.0
SPINT2#4.0180364#0.010423049#0.0
NR4A3#4.0180364#0.010423048#0.0
PDCD5#4.0180364#0.010423046#0.0
CRYAB#4.018036#0.010423031#0.0
MRPS22#4.018036#0.01042304#0.0
SNX22#4.018036#0.010423033#0.0
RPS16#4.0180354#0.0104230195#0.0
SLC20A1#4.018035#0.010423007#0.0
MRPS34#4.018035#0.010423007#0.0
GNB4#4.018035#0.010423013#0.0
SMIM15#4.018035#0.010423015#0.0
HOXA2#4.018035#0.010423008#0.0
LYPD4#4.0180345#0.010422998#0.0
ZNF789#4.018034#0.010422987#0.0
PORCN#4.018034#0.010422984#0.0
TNFRSF10C#4.0180335#0.010422982#0.0
CASC10#4.0180335#0.010422978#0.0
EFCAB9#4.018033#0.010422972#0.0
DHH#4.0180326#0.0104229525#0.0
TSACC#4.0180326#0.010422958#0.0
IGFL3#4.0180326#0.010422952#0.0
GUCY1B1#4.0180326#0.010422954#0.0
CPE#4.018032#0.010422945#0.0
NAIF1#4.018032#0.010422939#0.0
TARDBP#4.018031#0.010422921#0.0
HOXB7#4.018031#0.010422923#0.0
VDAC2#4.018031#0.010422922#0.0
SAP30L#4.018031#0.01042292#0.0
