#PS#PS_pos#PS_nag
PCYT1B#4.018783#0.010440991#0.0
KLRF1#4.018763#0.010440503#0.0
MED18#4.0187488#0.010440162#0.0
ACBD7#4.0187488#0.010440162#0.0
TRIM31#4.0187235#0.010439557#0.0
C12orf76#4.0187235#0.010439557#0.0
C5orf24#4.0187235#0.010439557#0.0
AIG1#4.0187225#0.010439533#0.0
SUCLA2#4.018718#0.010439411#0.0
PRM1#4.018718#0.010439411#0.0
UBE2B#4.0187006#0.010439007#0.0
OR4C3#4.018693#0.01043882#0.0
H2AFV#4.018693#0.01043882#0.0
PFDN2#4.0186844#0.010438615#0.0
C5orf66#4.0186844#0.010438615#0.0
RAB1B#4.0186844#0.010438615#0.0
PKIG#4.0186815#0.010438548#0.0
RNF146#4.0186815#0.010438548#0.0
MBLAC2#4.0186815#0.010438548#0.0
USP46#4.0186815#0.010438548#0.0
YWHAZ#4.0186687#0.010438238#0.0
TEX48#4.0186687#0.010438238#0.0
CEBPB#4.0186677#0.010438216#0.0
SERPINF2#4.0186677#0.010438216#0.0
CTNNBIP1#4.018657#0.010437958#0.0
ABHD17C#4.018657#0.010437958#0.0
COPS2#4.0186224#0.01043712#0.0
ACOT6#4.0186224#0.01043712#0.0
MOB3C#4.0186076#0.010436772#0.0
RPL36A-HNRNPH2#4.018215#0.010427336#0.0
RPL36A#4.018215#0.010427336#0.0
