#PA#PA_pos#PA_nag
ACOT1#4.020001#0.010470311#0.0
PPP2R2A#4.020001#0.010470311#0.0
COA3#4.020001#0.010470311#0.0
PPP2R1A#4.0199194#0.010468344#0.0
MEIG1#4.019837#0.01046635#0.0
TAC1#4.019752#0.010464302#0.0
FAM72A#4.0197353#0.010463903#0.0
FBXW11#4.0197353#0.010463903#0.0
HIST3H2A#4.0197268#0.010463705#0.0
PLEKHB2#4.0197268#0.010463705#0.0
UPRT#4.019721#0.010463558#0.0
PTH#4.019715#0.010463412#0.0
MRPL35#4.0196376#0.010461549#0.0
