#COA-IVS#COA-IVS_pos#COA-IVS_nag
TSPAN6#4.0200553#0.010471618#0.0
KCNA2#4.0200553#0.010471618#0.0
TBPL1#4.0198574#0.0104668485#0.0
HIST1H2BK#4.0198526#0.010466737#0.0
FOSB#4.019754#0.010464353#0.0
GREM2#4.019754#0.010464353#0.0
PURB#4.019729#0.010463755#0.0
NSG2#4.019695#0.010462932#0.0
GP1BB#4.019695#0.010462932#0.0
DPPA2#4.019658#0.010462047#0.0
FAM19A1#4.019658#0.010462047#0.0
HIST1H2BN#4.0195713#0.010459952#0.0
SMIM19#4.0195713#0.010459952#0.0
ADIPOQ-AS1#4.018729#0.010439694#0.0
