#DORT#DORT_pos#DORT_nag
BCAS2#4.0188#0.010441382#0.0
CDK2AP1#4.0184803#0.010433703#0.0
AQP3#4.018458#0.010433165#0.0
LAMP2#4.018456#0.01043312#0.0
TEX22#4.018427#0.010432419#0.0
BATF#4.0184264#0.010432411#0.0
IRGM#4.0184245#0.010432365#0.0
RGCC#4.0184226#0.010432327#0.0
TMEM167B#4.01842#0.010432262#0.0
INHBC#4.018419#0.01043223#0.0
LILRB3#4.018419#0.010432235#0.0
ANKRD13C#4.0184164#0.010432169#0.0
CCDC85B#4.0184135#0.010432105#0.0
RANGRF#4.018406#0.010431922#0.0
TRAPPC4#4.0184#0.010431778#0.0
CTSL#4.018391#0.010431565#0.0
MYD88#4.0183887#0.010431507#0.0
SAP30#4.018386#0.010431434#0.0
SLC32A1#4.018381#0.010431322#0.0
STAR#4.0183663#0.010430973#0.0
TEX12#4.0181413#0.010425568#0.0
TAS2R46#4.018141#0.010425556#0.0
SF3B5#4.018141#0.010425556#0.0
RNF7#4.0181284#0.010425256#0.0
TMSB15A#4.0181246#0.010425163#0.0
VAPB#4.0181246#0.010425163#0.0
KCNJ8#4.018122#0.010425103#0.0
ADAT2#4.0181184#0.0104250135#0.0
G6PC3#4.018118#0.010425004#0.0
MAGEH1#4.0181155#0.0104249455#0.0
PDXDC1#4.0181155#0.0104249455#0.0
LLPH#4.0181146#0.010424926#0.0
NCALD#4.018111#0.01042485#0.0
C5orf58#4.018111#0.01042485#0.0
NUTM2A#4.0181046#0.010424684#0.0
IKBKG#4.018102#0.0104246205#0.0
HIST1H3F#4.018102#0.0104246205#0.0
DESI2#4.018102#0.010424629#0.0
RGS1#4.0181007#0.010424593#0.0
MFAP4#4.0181007#0.010424593#0.0
CPLX3#4.0181007#0.010424593#0.0
COMMD2#4.018099#0.01042454#0.0
BOD1#4.018099#0.01042454#0.0
CCL2#4.018099#0.01042454#0.0
DIRC1#4.0180936#0.01042442#0.0
MRPL34#4.0180936#0.01042442#0.0
TOMM34#4.018093#0.010424412#0.0
PEA15#4.018093#0.010424412#0.0
AIG1#4.0180917#0.010424377#0.0
RBM22#4.0180907#0.010424352#0.0
TMX1#4.0180907#0.010424352#0.0
ACTL6A#4.0180907#0.010424352#0.0
MT1F#4.018089#0.010424303#0.0
HSFX4#4.018089#0.010424311#0.0
FAM86B1#4.018088#0.010424286#0.0
ZAR1L#4.018087#0.010424262#0.0
RHOC#4.0180864#0.0104242535#0.0
POMP#4.0180864#0.010424245#0.0
HBZ#4.0180864#0.0104242535#0.0
C1orf122#4.0180864#0.0104242535#0.0
RAN#4.018086#0.010424237#0.0
MYL12B#4.0180855#0.010424221#0.0
TIMM8B#4.018084#0.010424197#0.0
TMEM159#4.018084#0.010424197#0.0
PON2#4.018084#0.010424197#0.0
LYPD8#4.018083#0.0104241725#0.0
APOLD1#4.0180826#0.010424157#0.0
SNURF#4.0180826#0.010424157#0.0
PRR7#4.0180826#0.010424157#0.0
HMGN3#4.0180826#0.010424157#0.0
PCBP1#4.018082#0.010424149#0.0
DRD1#4.018082#0.010424149#0.0
GABARAP#4.018082#0.010424149#0.0
H1FX#4.018081#0.010424118#0.0
TMEM170A#4.018081#0.010424118#0.0
OXT#4.01808#0.010424102#0.0
GOLGA7#4.01808#0.010424094#0.0
MYCBP#4.01808#0.010424094#0.0
IZUMO1#4.018079#0.01042407#0.0
SPIN1#4.018079#0.01042407#0.0
RTL8B#4.018079#0.01042407#0.0
NUDT10#4.018077#0.010424024#0.0
PYCARD#4.018076#0.010423994#0.0
KRTCAP3#4.018075#0.010423979#0.0
TEX13D#4.018075#0.010423979#0.0
WFDC11#4.018075#0.010423979#0.0
IGSF23#4.018075#0.010423979#0.0
CCL11#4.018075#0.010423979#0.0
MYCT1#4.018075#0.010423979#0.0
PCNA#4.0180707#0.010423874#0.0
TSPAN31#4.0180707#0.010423874#0.0
DEFB110#4.0180707#0.010423874#0.0
RAP2A#4.0180697#0.010423845#0.0
NPPC#4.0180697#0.010423845#0.0
ZNF22#4.018069#0.01042383#0.0
FAM72B#4.018069#0.01042383#0.0
CCL19#4.018069#0.01042383#0.0
TMEM219#4.018069#0.01042383#0.0
ACTL6B#4.018069#0.01042383#0.0
DUSP7#4.018069#0.01042383#0.0
RAB10#4.018066#0.010423757#0.0
KCNIP4#4.018066#0.010423757#0.0
ATP5MC2#4.01806#0.010423624#0.0
RAC1#4.0180554#0.010423502#0.0
RPL32#4.0180554#0.010423502#0.0
LOC100131047#4.017926#0.010420404#0.0
RFLNA#4.017925#0.010420371#0.0
ZNF664-RFLNA#4.017925#0.010420371#0.0
CFC1#4.017924#0.01042035#0.0
CFC1B#4.017924#0.01042035#0.0
LOC104968399#4.01792#0.010420255#0.0
GNG10#4.0179186#0.010420225#0.0
SPACA5#4.017916#0.010420165#0.0
SPACA5B#4.017916#0.010420165#0.0
ZSCAN16-AS1#4.017911#0.01042004#0.0
