#共同房室瓣#共同房室瓣_pos#共同房室瓣_nag
TEX12#4.0190325#0.010446981#0.0
BAG5#4.0189486#0.0104449615#0.0
CTSG#4.0189486#0.0104449615#0.0
CDK2AP2#4.018947#0.010444929#0.0
PDXDC1#4.0189457#0.010444896#0.0
MAGEH1#4.0189457#0.010444896#0.0
NCALD#4.0189323#0.010444577#0.0
C5orf58#4.0189323#0.010444577#0.0
GRXCR1#4.0188527#0.010442661#0.0
HMGN3#4.018836#0.010442255#0.0
PRR7#4.018836#0.010442255#0.0
APOLD1#4.018836#0.010442255#0.0
SNURF#4.018836#0.010442255#0.0
IZUMO1#4.0188236#0.010441965#0.0
SPIN1#4.0188236#0.010441965#0.0
RTL8B#4.0188236#0.010441965#0.0
MAP1LC3B2#4.0188174#0.01044181#0.0
TFF3#4.018809#0.010441606#0.0
DNAJC5#4.0188046#0.010441505#0.0
HMGN1#4.0188046#0.010441505#0.0
TONSL-AS1#4.0183077#0.010429558#0.0
SPDYE2B#4.0182858#0.010429031#0.0
SPDYE2#4.0182858#0.010429031#0.0
