#SV#SV_pos#SV_nag
AGR2#4.0206804#0.010486707#0.0
METTL2A#4.019384#0.010455444#0.0
TFF1#4.019384#0.010455444#0.0
KMT5A#4.019384#0.010455444#0.0
IL15#4.0193243#0.010454009#0.0
HIST1H4K#4.0193243#0.010454009#0.0
BLOC1S6#4.019308#0.010453619#0.0
CXCR5#4.019308#0.010453619#0.0
BEX5#4.019308#0.010453619#0.0
ZNF566#4.0192842#0.010453047#0.0
TMEM203#4.0192842#0.010453047#0.0
PAGE2#4.0192842#0.010453047#0.0
LOC645188#4.0192842#0.010453047#0.0
C9orf163#4.0192842#0.010453047#0.0
EDDM3B#4.0192842#0.010453047#0.0
RABAC1#4.019275#0.010452824#0.0
LAMTOR3#4.019275#0.010452824#0.0
YAF2#4.019275#0.010452824#0.0
MAP1LC3B2#4.019269#0.010452677#0.0
ARHGEF9#4.019223#0.010451572#0.0
TEX13C#4.019223#0.010451572#0.0
PTMS#4.019223#0.010451572#0.0
ANAPC16#4.019222#0.010451538#0.0
RAB5B#4.019222#0.010451538#0.0
C17orf112#4.019212#0.010451298#0.0
SPANXN3#4.019212#0.010451298#0.0
GSTT2B#4.0185647#0.0104357395#0.0
GSTT2#4.0185647#0.0104357395#0.0
WFDC13#4.0184875#0.010433877#0.0
