#心外#心外_pos#心外_nag
ZNF385D#4.0184765#0.010433616#0.0
NDUFS8#4.0184636#0.010433311#0.0
CCT7#4.018333#0.010430171#0.0
HS3ST1#4.0183244#0.0104299635#0.0
PAX6#4.0183215#0.0104298955#0.0
MAPK14#4.0183167#0.01042978#0.0
C12orf71#4.018316#0.0104297595#0.0
WISP3#4.018316#0.010429752#0.0
MTERF3#4.018314#0.010429713#0.0
IL36G#4.0183067#0.01042954#0.0
YY1#4.0183053#0.010429505#0.0
PYY#4.0182157#0.01042735#0.0
RPL22#4.018208#0.010427166#0.0
CRY1#4.0182047#0.010427093#0.0
BCAS2#4.018201#0.010426999#0.0
ZC3H15#4.0181956#0.010426874#0.0
PRR32#4.0181885#0.010426701#0.0
MDH2#4.018187#0.010426667#0.0
HIST1H3A#4.018184#0.010426596#0.0
MGMT#4.018178#0.010426441#0.0
SKP2#4.018177#0.010426422#0.0
MLEC#4.0181746#0.010426372#0.0
CTCF#4.0181737#0.010426341#0.0
ZNF490#4.0181737#0.010426348#0.0
EIF3J#4.018169#0.010426231#0.0
AMD1#4.0181684#0.0104262205#0.0
LRRC4#4.018168#0.0104262065#0.0
TMEM11#4.018165#0.01042614#0.0
C12orf65#4.0181646#0.0104261255#0.0
ERP29#4.018152#0.010425829#0.0
TIMP2#4.018151#0.010425798#0.0
CDK2AP1#4.018066#0.010423753#0.0
AQP3#4.0180564#0.010423527#0.0
NRAS#4.018054#0.010423466#0.0
NEUROD6#4.0180526#0.010423436#0.0
SMIM1#4.018052#0.010423423#0.0
HSPB6#4.0180516#0.01042341#0.0
HIST1H2BO#4.0180507#0.010423387#0.0
PRR20G#4.0180497#0.01042337#0.0
SNCB#4.0180492#0.010423354#0.0
RER1#4.018049#0.010423348#0.0
COX14#4.0180473#0.010423311#0.0
UBE2L6#4.018047#0.010423294#0.0
TRMT2B#4.018045#0.0104232505#0.0
RNF122#4.018044#0.010423232#0.0
MTMR10#4.018042#0.010423188#0.0
CALML5#4.0180407#0.010423151#0.0
LILRB3#4.01804#0.010423135#0.0
PIANP#4.01804#0.010423137#0.0
MPC1#4.0180397#0.0104231285#0.0
RRM2B#4.0180397#0.010423131#0.0
IRF1#4.0180397#0.010423125#0.0
ELF4#4.018039#0.0104231145#0.0
PNP#4.018039#0.010423113#0.0
KLHL11#4.018039#0.010423112#0.0
CXXC5#4.0180387#0.010423109#0.0
TMEM185A#4.0180387#0.010423101#0.0
PPIL3#4.0180383#0.010423094#0.0
