#TGA#TGA_pos#TGA_nag
CGB2#4.0190196#0.010446677#0.0
FAM192A#4.019013#0.010446513#0.0
TCTEX1D2#4.018993#0.010446029#0.0
CD47#4.0189915#0.010445993#0.0
FGF8#4.0189853#0.010445847#0.0
ADM#4.018976#0.010445628#0.0
SLC25A4#4.018965#0.01044536#0.0
TCF19#4.0189524#0.010445055#0.0
TUBB6#4.01894#0.010444759#0.0
SCN4B#4.0184383#0.010432705#0.0
TSHB#4.0184326#0.010432563#0.0
SHISA8#4.0184326#0.010432563#0.0
CDK5R2#4.0184107#0.010432034#0.0
HES1#4.018409#0.010431984#0.0
ARL5A#4.018405#0.0104319025#0.0
SLC16A2#4.0184045#0.010431887#0.0
NOMO1#4.0184026#0.010431838#0.0
ZNF385A#4.0184026#0.010431838#0.0
NAA40#4.0183973#0.010431711#0.0
EID2B#4.018389#0.0104315225#0.0
SRSF3#4.018389#0.0104315225#0.0
GOLGA8A#4.018389#0.0104315225#0.0
TUBB4A#4.018389#0.0104315225#0.0
WNT7A#4.0183887#0.010431508#0.0
UBIAD1#4.0183854#0.010431431#0.0
PRKX#4.0183854#0.010431431#0.0
TOMM22#4.0183845#0.0104314005#0.0
TRAPPC1#4.0183845#0.0104314005#0.0
CLEC2D#4.0183845#0.0104314005#0.0
PDP2#4.0183845#0.0104314005#0.0
TTC36#4.0183835#0.010431386#0.0
POPDC3#4.0183835#0.010431386#0.0
SPRR4#4.0183835#0.010431386#0.0
CD59#4.018383#0.01043137#0.0
HTN3#4.018383#0.01043137#0.0
RPL39L#4.0183806#0.01043131#0.0
ARL1#4.0183806#0.01043131#0.0
SMIM13#4.0183806#0.01043131#0.0
YY2#4.0183806#0.01043131#0.0
TIMP3#4.0183806#0.01043131#0.0
STMN2#4.018377#0.010431221#0.0
PLA2G5#4.018377#0.010431221#0.0
PEX11B#4.018377#0.010431221#0.0
MINOS1#4.0183754#0.010431191#0.0
RAB6C#4.0183754#0.010431191#0.0
FAM19A2#4.0183735#0.010431146#0.0
SEC61G#4.0183735#0.010431146#0.0
CT83#4.0183735#0.010431146#0.0
CSRP2#4.0183735#0.010431146#0.0
FBXO32#4.0183725#0.010431117#0.0
CLDN19#4.0183725#0.010431117#0.0
TMCO2#4.0183725#0.010431117#0.0
IGFL4#4.0183725#0.010431117#0.0
OR2A7#4.0183687#0.01043103#0.0
CARNMT1#4.0183687#0.01043103#0.0
GNRH1#4.0183687#0.01043103#0.0
KCNJ6#4.0183687#0.01043103#0.0
HEXIM1#4.0183687#0.01043103#0.0
TRIM44#4.018368#0.010431001#0.0
CHMP1B#4.018361#0.0104308445#0.0
NR2E1#4.018361#0.0104308445#0.0
RNF41#4.0183587#0.010430789#0.0
HIGD1B#4.0183563#0.010430733#0.0
MVB12B#4.018332#0.010430148#0.0
PPP3R1#4.018332#0.010430148#0.0
TBCB#4.018296#0.010429276#0.0
LSM7#4.018296#0.010429276#0.0
LOC391322#4.0180864#0.010424244#0.0
DDT#4.0180864#0.010424244#0.0
LYNX1#4.0180855#0.01042422#0.0
MAGEA5#4.018071#0.010423883#0.0
MAGEA10-MAGEA5#4.018071#0.010423883#0.0
MIR3936HG#4.0180683#0.010423816#0.0
KLHL23#4.0180655#0.010423743#0.0
PHOSPHO2-KLHL23#4.0180655#0.010423743#0.0
PPIAL4F#4.0179615#0.010421252#0.0
PPIAL4E#4.0179615#0.010421252#0.0
PPIAL4D#4.0179615#0.010421252#0.0
