#AS#AS_pos#AS_nag
PFDN4#4.023482#0.010554575#0.0
SKP1#4.023482#0.010554575#0.0
RAB2A#4.0231504#0.010546527#0.0
RHEB#4.0231504#0.010546527#0.0
PRAP1#4.023123#0.0105458535#0.0
CLDN34#4.022866#0.010539607#0.0
