#ASD#ASD_pos#ASD_nag
SNCB#4.018749#0.010440172#0.0
CYTH1#4.0187106#0.010439246#0.0
HIST1H2BC#4.01871#0.010439236#0.0
SIAH2#4.0186906#0.010438757#0.0
RPL37A#4.018669#0.010438249#0.0
SNRNP27#4.0183206#0.010429875#0.0
ZSCAN4#4.018294#0.010429228#0.0
TXNRD3NB#4.018294#0.010429228#0.0
KCNJ8#4.018286#0.010429051#0.0
ADAT2#4.018281#0.01042892#0.0
CTSG#4.018278#0.01042885#0.0
BAG5#4.018278#0.01042885#0.0
HSPB11#4.0182767#0.010428822#0.0
LSM4#4.0182753#0.010428779#0.0
HIST1H4H#4.0182686#0.010428627#0.0
C20orf202#4.018253#0.010428244#0.0
POTED#4.018253#0.010428244#0.0
GABRA5#4.0182524#0.010428232#0.0
TMEM116#4.0182524#0.010428232#0.0
HHLA3#4.0182514#0.010428206#0.0
DEFB109B#4.0182424#0.010427995#0.0
KCNA1#4.0182424#0.010427995#0.0
FAM110B#4.0182424#0.010427995#0.0
OR1J4#4.0182395#0.010427921#0.0
ARPC5L#4.0182385#0.010427897#0.0
HMHB1#4.0182385#0.010427897#0.0
NUDT5#4.018238#0.010427885#0.0
TMEM182#4.018238#0.010427885#0.0
MED7#4.018238#0.010427885#0.0
VDAC3#4.018238#0.010427885#0.0
MT1F#4.018238#0.010427885#0.0
GUCA1A#4.018237#0.0104278615#0.0
HIST1H3C#4.018235#0.010427825#0.0
SF3B4#4.018235#0.010427825#0.0
IFITM1#4.018235#0.010427825#0.0
MYL12B#4.018233#0.0104277665#0.0
ARF5#4.018232#0.010427742#0.0
PTH#4.0182295#0.0104276845#0.0
KRTAP12-3#4.0182295#0.0104276845#0.0
PRR7#4.018229#0.010427672#0.0
HMGN3#4.018229#0.010427672#0.0
APOLD1#4.018229#0.010427672#0.0
SNURF#4.018229#0.010427672#0.0
GOLGA7#4.018225#0.010427581#0.0
CDC42#4.0182195#0.010427446#0.0
C16orf87#4.0182195#0.010427446#0.0
KLF6#4.0182185#0.010427424#0.0
NFYC#4.0182185#0.010427424#0.0
HMGN1#4.0182157#0.010427346#0.0
DNAJC5#4.0182157#0.010427346#0.0
WNT6#4.0182133#0.010427292#0.0
QKI#4.0182095#0.010427207#0.0
LYRM7#4.0182095#0.010427207#0.0
RHOB#4.0182095#0.010427207#0.0
C11orf96#4.0182095#0.010427207#0.0
CXCR4#4.0182037#0.01042707#0.0
LOC104968399#4.0179925#0.0104219895#0.0
