#AS.1#AS.1_pos#AS.1_nag
COX7B2#4.0190325#0.010446981#0.0
UBTD2#4.019019#0.010446663#0.0
KRTAP13-3#4.0185738#0.010435956#0.0
FOXD4L3#4.0185213#0.010434688#0.0
APOC3#4.0185213#0.010434688#0.0
TIMM9#4.0185213#0.010434688#0.0
SRGAP2B#4.0185213#0.010434688#0.0
OTX2#4.0185146#0.010434536#0.0
FAM50A#4.0185146#0.010434536#0.0
SRGAP2C#4.018501#0.010434197#0.0
G6PC3#4.0184846#0.010433811#0.0
MAFB#4.018472#0.010433518#0.0
PFDN4#4.018459#0.010433197#0.0
SKP1#4.018459#0.010433197#0.0
DPRX#4.0184546#0.010433087#0.0
BRS3#4.018451#0.0104330145#0.0
SPATA9#4.018451#0.0104330145#0.0
CDKN2D#4.018451#0.0104330145#0.0
TMEM115#4.0184493#0.01043296#0.0
PTAFR#4.018444#0.010432836#0.0
HIST1H3J#4.018444#0.010432836#0.0
PSMD14#4.018434#0.010432592#0.0
METTL9#4.0184298#0.010432489#0.0
MT1F#4.0184255#0.010432388#0.0
INKA1#4.018424#0.010432354#0.0
KRTAP19-2#4.018424#0.010432354#0.0
RAB2A#4.0184183#0.010432222#0.0
RHEB#4.0184183#0.010432222#0.0
SNURF#4.018413#0.010432092#0.0
APOLD1#4.018413#0.010432092#0.0
HMGN3#4.018413#0.010432092#0.0
PRR7#4.018413#0.010432092#0.0
SDF2#4.0184083#0.01043198#0.0
HLA-F#4.018405#0.010431901#0.0
ESM1#4.0183997#0.010431776#0.0
SSU72#4.0183997#0.010431776#0.0
PYDC2#4.0183997#0.010431776#0.0
H3.Y#4.0183997#0.010431776#0.0
MSL1#4.0183997#0.010431776#0.0
ZFP92#4.0183744#0.010431166#0.0
CALM2#4.0183744#0.010431166#0.0
PSMA4#4.018336#0.010430242#0.0
GPHA2#4.018336#0.010430242#0.0
OR2A42#4.0181417#0.010425572#0.0
KRTAP9-3#4.0181417#0.010425572#0.0
OR2A1#4.0181417#0.010425572#0.0
MYCNOS#4.018098#0.010424524#0.0
SLFNL1-AS1#4.018093#0.010424405#0.0
TMPO-AS1#4.0180836#0.010424186#0.0
