#MV#MV_pos#MV_nag
TRAPPC6B#4.0189033#0.010443873#0.0
MRPL48#4.0188828#0.010443386#0.0
SAMD5#4.018873#0.010443149#0.0
ZBTB2#4.0188556#0.010442725#0.0
TRMT2B#4.0188527#0.010442658#0.0
Mar_03#4.0188255#0.010442008#0.0
HIST1H2BJ#4.0188246#0.010441984#0.0
SPDYE16#4.018824#0.010441971#0.0
IMMP1L#4.018794#0.010441251#0.0
PAX1#4.0187826#0.010440977#0.0
UBTD2#4.0187745#0.010440779#0.0
KRTAP13-3#4.0184155#0.01043215#0.0
APOC3#4.018373#0.01043113#0.0
FOXD4L3#4.018373#0.01043113#0.0
TIMM9#4.018373#0.01043113#0.0
SRGAP2B#4.018373#0.01043113#0.0
OTX2#4.018368#0.010431008#0.0
FAM50A#4.018368#0.010431008#0.0
SRGAP2C#4.0183563#0.010430736#0.0
ADAT2#4.0183444#0.01043044#0.0
ZCCHC10#4.0183306#0.010430112#0.0
DEFB134#4.0183306#0.010430112#0.0
CXorf21#4.0183268#0.01043002#0.0
OTUD5#4.018318#0.010429813#0.0
TRPM1#4.018318#0.010429813#0.0
BRS3#4.0183167#0.010429784#0.0
SPATA9#4.0183167#0.010429784#0.0
CDKN2D#4.0183167#0.010429784#0.0
TFF1#4.0183163#0.010429769#0.0
KMT5A#4.0183163#0.010429769#0.0
METTL2A#4.0183163#0.010429769#0.0
TMEM115#4.0183153#0.01042974#0.0
LOC100289561#4.018299#0.01042936#0.0
METTL9#4.018299#0.01042936#0.0
GNGT1#4.0182962#0.010429292#0.0
PDZD11#4.0182962#0.010429292#0.0
SPOP#4.0182962#0.010429292#0.0
BEX5#4.0182905#0.010429146#0.0
BLOC1S6#4.0182905#0.010429146#0.0
CXCR5#4.0182905#0.010429146#0.0
PIP4P2#4.018286#0.0104290405#0.0
GNG2#4.018286#0.0104290405#0.0
CACYBP#4.018286#0.0104290405#0.0
TGFB2#4.018286#0.0104290405#0.0
GABARAP#4.0182853#0.0104290275#0.0
DRD1#4.0182853#0.0104290275#0.0
PCBP1#4.0182853#0.0104290275#0.0
SDF2#4.0182824#0.01042895#0.0
HLA-F#4.0182796#0.010428887#0.0
PIK3CA#4.0182757#0.010428798#0.0
CHRNA7#4.0182757#0.010428798#0.0
ESM1#4.0182753#0.010428786#0.0
H3.Y#4.0182753#0.010428786#0.0
PYDC2#4.0182753#0.010428786#0.0
SSU72#4.0182753#0.010428786#0.0
MSL1#4.0182753#0.010428786#0.0
FAM72B#4.018264#0.010428506#0.0
ACTL6B#4.018264#0.010428506#0.0
DUSP7#4.018264#0.010428506#0.0
TMEM219#4.018264#0.010428506#0.0
CCL19#4.018264#0.010428506#0.0
ZNF22#4.018264#0.010428506#0.0
RAB5B#4.018261#0.010428435#0.0
ANAPC16#4.018261#0.010428435#0.0
YPEL1#4.0182576#0.010428353#0.0
CALM2#4.018255#0.0104282955#0.0
ZFP92#4.018255#0.0104282955#0.0
PSMA4#4.0182242#0.010427552#0.0
GPHA2#4.0182242#0.010427552#0.0
OR2A1#4.0180674#0.010423793#0.0
OR2A42#4.0180674#0.010423793#0.0
KRTAP9-3#4.0180674#0.010423793#0.0
CHMP3#4.0180464#0.010423284#0.0
TMPO-AS1#4.018021#0.010422678#0.0
FXYD2#4.0180097#0.010422404#0.0
