#AS-COA#AS-COA_pos#AS-COA_nag
PSMD14#4.0232763#0.010549574#0.0
KRTAP19-2#4.0231957#0.010547618#0.0
INKA1#4.0231957#0.010547618#0.0
KLRC1#4.0228114#0.0105382865#0.0
C5orf30#4.0228114#0.0105382865#0.0
PROK2#4.0228114#0.0105382865#0.0
MYCNOS#4.020528#0.010483015#0.0
SLFNL1-AS1#4.0204873#0.010482037#0.0
NDUFC2-KCTD14#4.0202937#0.0104773715#0.0
