#主动脉弓#主动脉弓_pos#主动脉弓_nag
OLIG1#4.018385#0.010431411#0.0
WDR26#4.018364#0.0104309125#0.0
TAS2R3#4.0183573#0.010430751#0.0
TACR1#4.0183473#0.01043051#0.0
HIKESHI#4.0182314#0.010427728#0.0
SDC2#4.0182257#0.010427591#0.0
RAB3D#4.0182214#0.010427493#0.0
CTDNEP1#4.018217#0.010427382#0.0
TCAIM#4.018214#0.010427316#0.0
CLDN11#4.0182085#0.010427177#0.0
TOMM5#4.018205#0.010427095#0.0
RHBDL2#4.0182023#0.010427036#0.0
IL1A#4.018202#0.010427023#0.0
THEM6#4.0182#0.010426975#0.0
C12orf74#4.0181985#0.010426943#0.0
LOC388813#4.0181966#0.010426896#0.0
KHDC1L#4.018191#0.010426751#0.0
OPN5#4.018176#0.010426403#0.0
REEP5#4.018097#0.0104244985#0.0
KCTD10#4.018085#0.010424216#0.0
SNN#4.018077#0.010424023#0.0
TTC32#4.018074#0.010423954#0.0
ZNF32#4.0180717#0.010423894#0.0
THOC7#4.0180717#0.010423897#0.0
BST2#4.01807#0.010423855#0.0
ZNF428#4.01807#0.010423863#0.0
CS#4.018069#0.010423823#0.0
STARD3NL#4.018068#0.010423803#0.0
FERD3L#4.0180664#0.010423771#0.0
GADD45B#4.018066#0.010423755#0.0
C17orf49#4.018066#0.010423759#0.0
DGKE#4.0180655#0.010423746#0.0
TMEM167B#4.018065#0.010423738#0.0
INHBC#4.0180645#0.010423723#0.0
SUMO1#4.018064#0.010423712#0.0
NPVF#4.0180635#0.010423702#0.0
KLHL20#4.0180635#0.010423696#0.0
BTBD19#4.018063#0.010423691#0.0
ZNF121#4.0180626#0.010423679#0.0
VMA21#4.0180626#0.010423673#0.0
SUMF1#4.0180626#0.010423681#0.0
PPIL3#4.0180626#0.010423681#0.0
ISL1#4.0180616#0.0104236575#0.0
C11orf58#4.0180616#0.0104236575#0.0
PPP2R5E#4.01806#0.010423622#0.0
CRHBP#4.01806#0.010423621#0.0
C15orf56#4.0180597#0.01042361#0.0
TMED5#4.0180597#0.010423613#0.0
NPBWR1#4.0180593#0.010423602#0.0
CGB2#4.018057#0.010423534#0.0
SLC25A16#4.0180564#0.010423527#0.0
MAL2#4.0180564#0.01042353#0.0
UBE2E1#4.0180564#0.010423525#0.0
LSM1#4.018056#0.010423518#0.0
NPIPB9#4.018056#0.0104235215#0.0
FAM192A#4.018055#0.010423495#0.0
HBE1#4.018055#0.010423497#0.0
FGF4#4.018055#0.010423495#0.0
SLC50A1#4.018055#0.010423497#0.0
CPSF6#4.018054#0.010423472#0.0
POMC#4.018053#0.010423446#0.0
MCIDAS#4.0180526#0.010423437#0.0
IMPACT#4.0180516#0.010423416#0.0
TCTEX1D2#4.01805#0.010423383#0.0
CD47#4.01805#0.010423374#0.0
FGF8#4.018049#0.01042334#0.0
UBTD2#4.018048#0.010423323#0.0
SCGB1A1#4.018048#0.010423317#0.0
HTR2C#4.0180473#0.010423308#0.0
ADM#4.0180464#0.01042329#0.0
CISD1#4.0180445#0.010423237#0.0
COLCA2#4.018044#0.010423233#0.0
SLC25A4#4.018044#0.010423226#0.0
ELP6#4.0180426#0.01042319#0.0
TCF19#4.018041#0.0104231555#0.0
COX6B2#4.018039#0.010423117#0.0
TUBB6#4.018038#0.010423087#0.0
SPEF1#4.018033#0.010422963#0.0
KRTAP13-3#4.0179453#0.0104208635#0.0
KCNA2#4.017935#0.010420612#0.0
TSPAN6#4.017935#0.010420612#0.0
TIMM9#4.0179334#0.010420577#0.0
APOC3#4.0179334#0.010420577#0.0
FOXD4L3#4.0179334#0.010420577#0.0
SRGAP2B#4.0179334#0.010420577#0.0
OTX2#4.017932#0.010420542#0.0
FAM50A#4.017932#0.010420542#0.0
RNF7#4.01793#0.010420494#0.0
SRGAP2C#4.0179286#0.010420466#0.0
STRAP#4.0179253#0.010420378#0.0
CRABP1#4.0179253#0.010420378#0.0
G6PC3#4.0179253#0.010420378#0.0
ADAT2#4.0179253#0.010420383#0.0
LLPH#4.017924#0.010420343#0.0
NKRF#4.0179234#0.010420338#0.0
ZCCHC10#4.0179214#0.010420291#0.0
DEFB134#4.0179214#0.010420291#0.0
MRPS21#4.017921#0.010420282#0.0
INSYN1#4.017921#0.010420282#0.0
PITHD1#4.017921#0.010420282#0.0
F2R#4.017921#0.010420282#0.0
WDR83OS#4.0179205#0.010420265#0.0
VPS29#4.0179205#0.010420265#0.0
ZNF449#4.01792#0.010420256#0.0
TBPL1#4.01792#0.010420253#0.0
TAS2R30#4.01792#0.010420256#0.0
PRPSAP2#4.01792#0.010420256#0.0
PFDN4#4.0179195#0.0104202395#0.0
SKP1#4.0179195#0.0104202395#0.0
HIST1H2BK#4.0179195#0.010420244#0.0
SCN4B#4.0179195#0.0104202395#0.0
DPRX#4.0179186#0.010420214#0.0
SYPL1#4.0179186#0.010420214#0.0
TSHB#4.017918#0.010420207#0.0
SHISA8#4.017918#0.010420207#0.0
DESI2#4.017918#0.010420207#0.0
OTUD5#4.017918#0.010420207#0.0
TRPM1#4.017918#0.010420207#0.0
SPATA9#4.0179176#0.010420199#0.0
