#AVSD#AVSD_pos#AVSD_nag
TREX1#4.019377#0.010455281#0.0
ZNF81#4.018869#0.010443046#0.0
LSAMP#4.01886#0.010442836#0.0
UBB#4.0188227#0.01044194#0.0
BATF#4.0188203#0.010441878#0.0
HIST1H2BC#4.0188003#0.0104414#0.0
KLF7#4.018796#0.0104413#0.0
SIAH2#4.0187783#0.010440876#0.0
TMEM199#4.018756#0.010440331#0.0
TAS2R46#4.0183663#0.010430973#0.0
SF3B5#4.0183663#0.010430973#0.0
PRPS2#4.0183268#0.010430015#0.0
LSM4#4.018324#0.010429953#0.0
IGFL1#4.018319#0.010429831#0.0
RBP2#4.018317#0.0104297865#0.0
LOC107984974#4.018317#0.0104297865#0.0
CPLX3#4.0183024#0.010429437#0.0
MFAP4#4.0183024#0.010429437#0.0
RGS1#4.0183024#0.010429437#0.0
GRB2#4.0183015#0.010429409#0.0
HHLA3#4.0182977#0.0104293255#0.0
MMP24OS#4.0182905#0.010429147#0.0
CALM3#4.018289#0.01042912#0.0
OR1J4#4.018285#0.0104290135#0.0
NUDT5#4.0182834#0.0104289735#0.0
TMEM182#4.0182834#0.0104289735#0.0
VDAC3#4.0182834#0.0104289735#0.0
MED7#4.0182834#0.0104289735#0.0
GRXCR1#4.0182815#0.010428934#0.0
SF3B4#4.0182805#0.010428908#0.0
HIST1H3C#4.0182805#0.010428908#0.0
IFITM1#4.0182805#0.010428908#0.0
MYL12B#4.0182776#0.010428843#0.0
ARF5#4.0182767#0.010428818#0.0
KRTAP12-3#4.0182743#0.010428754#0.0
PEX13#4.018268#0.010428616#0.0
CDC42#4.0182633#0.010428493#0.0
C16orf87#4.0182633#0.010428493#0.0
GNG5#4.0182624#0.010428469#0.0
HBA2#4.0182624#0.010428469#0.0
TFF3#4.0182605#0.010428432#0.0
HMGN1#4.0182586#0.010428384#0.0
DNAJC5#4.0182586#0.010428384#0.0
WNT6#4.018256#0.010428324#0.0
POLR2J#4.018254#0.010428266#0.0
GJA9#4.018254#0.010428266#0.0
SLC25A44#4.018254#0.010428266#0.0
NAA50#4.018254#0.010428266#0.0
ALKBH5#4.018254#0.010428266#0.0
TCTEX1D1#4.018254#0.010428266#0.0
LYRM7#4.0182524#0.01042823#0.0
QKI#4.0182524#0.01042823#0.0
MORN2#4.018232#0.0104277395#0.0
RPS14#4.018232#0.0104277395#0.0
GPR88#4.018232#0.0104277395#0.0
TMEM101#4.018232#0.0104277395#0.0
SPACA4#4.018232#0.0104277395#0.0
BCL2L2#4.0180254#0.010422788#0.0
TONSL-AS1#4.0180216#0.0104226945#0.0
SPDYE2B#4.018011#0.010422444#0.0
SPDYE2#4.018011#0.010422444#0.0
KCNIP2-AS1#4.0180078#0.010422361#0.0
