#间隔缺损（心房-心室）#间隔缺损（心房-心室）_pos#间隔缺损（心房-心室）_nag
POTEB3#4.018606#0.01043673#0.0
ST3GAL1#4.018495#0.010434065#0.0
DTX1#4.0184746#0.010433573#0.0
SURF1#4.0184717#0.010433503#0.0
GHRH#4.0184073#0.01043195#0.0
RPL28#4.0183616#0.010430859#0.0
LYZL4#4.01835#0.010430582#0.0
DDX47#4.0183425#0.0104304#0.0
PGLYRP3#4.018305#0.010429497#0.0
SLC25A30#4.018304#0.0104294745#0.0
NPIPB5#4.0183034#0.010429453#0.0
TUBB4B#4.018303#0.010429448#0.0
DMAC2#4.0183005#0.010429388#0.0
BCLAF1#4.018299#0.01042935#0.0
PEX11A#4.0182977#0.010429321#0.0
CCNJ#4.0182962#0.010429281#0.0
YIPF7#4.0182886#0.010429106#0.0
EXOSC2#4.018287#0.0104290685#0.0
ZNF747#4.0182858#0.010429029#0.0
ATG7#4.0182705#0.010428669#0.0
DNAJA4#4.018257#0.010428342#0.0
NOV#4.018257#0.010428351#0.0
GNG8#4.0182486#0.010428144#0.0
CTPS1#4.0182476#0.010428119#0.0
SERPINH1#4.0182443#0.0104280375#0.0
PRLR#4.018243#0.010428#0.0
RPL22L1#4.018241#0.010427961#0.0
HIF3A#4.018241#0.010427964#0.0
PTCD2#4.0182405#0.01042795#0.0
PHTF1#4.0182395#0.010427928#0.0
QRFP#4.0182385#0.0104279015#0.0
MYBL1#4.0182347#0.010427806#0.0
SP140L#4.0182343#0.010427794#0.0
SMIM8#4.018233#0.0104277665#0.0
N6AMT1#4.018232#0.010427746#0.0
KLHDC8A#4.0182295#0.010427687#0.0
RBSN#4.0182295#0.010427687#0.0
HTR1D#4.018228#0.010427645#0.0
TAF1D#4.0182266#0.01042762#0.0
ZNF157#4.0181994#0.010426962#0.0
ABHD4#4.018197#0.010426901#0.0
ATCAY#4.0181932#0.010426813#0.0
OVOL2#4.018193#0.0104268#0.0
RPL5#4.018193#0.010426804#0.0
MRPS35#4.0181923#0.010426785#0.0
SLC6A1#4.018187#0.01042666#0.0
ATP2A2#4.018187#0.0104266675#0.0
NANOG#4.0181866#0.010426654#0.0
MACROD1#4.0181856#0.010426626#0.0
ZNF248#4.018184#0.010426598#0.0
LCE1B#4.0181837#0.010426585#0.0
TP53AIP1#4.0181837#0.010426579#0.0
ABHD17A#4.018183#0.010426569#0.0
FGF10#4.018183#0.010426571#0.0
FKBP9#4.0181828#0.01042656#0.0
PRR19#4.018182#0.010426538#0.0
FGFBP2#4.018181#0.010426516#0.0
FXN#4.0181794#0.010426483#0.0
PDCD1LG2#4.018178#0.010426446#0.0
KCNN4#4.018176#0.0104263965#0.0
AJM1#4.0181756#0.01042639#0.0
FN3KRP#4.018175#0.010426374#0.0
PRG3#4.018175#0.010426375#0.0
HIST1H2BG#4.018174#0.010426359#0.0
OR51I2#4.0181723#0.010426308#0.0
CLPX#4.018172#0.010426298#0.0
OR52J3#4.018171#0.010426279#0.0
ODF4#4.0181684#0.01042622#0.0
LRRC58#4.018166#0.010426166#0.0
NOL12#4.018166#0.010426162#0.0
VGLL3#4.0181623#0.010426064#0.0
ICAM4#4.0181623#0.010426071#0.0
LMAN2L#4.0181594#0.010426003#0.0
PSMD8#4.018152#0.010425829#0.0
INKA2#4.0181518#0.010425822#0.0
RGS14#4.018141#0.010425555#0.0
CRTC1#4.0181375#0.010425469#0.0
HINFP#4.0181336#0.010425385#0.0
CHKB#4.018132#0.010425347#0.0
TRIM25#4.018132#0.010425342#0.0
UCP2#4.0181317#0.010425332#0.0
ST3GAL3#4.018131#0.010425311#0.0
ENTPD6#4.018131#0.01042531#0.0
LHX8#4.0181303#0.010425302#0.0
METTL18#4.0181284#0.010425256#0.0
CCDC172#4.0181274#0.010425232#0.0
RAB18#4.018127#0.0104252165#0.0
ZDHHC1#4.018127#0.010425224#0.0
TFAP2C#4.018126#0.0104252#0.0
DDX19A#4.018126#0.010425197#0.0
OR2K2#4.0181255#0.010425186#0.0
PPM1F#4.018125#0.010425173#0.0
ELAC1#4.0181236#0.010425137#0.0
STRADA#4.018123#0.010425131#0.0
MTFR1L#4.018123#0.010425125#0.0
SPATA2#4.0181227#0.010425115#0.0
TMEM68#4.018122#0.010425109#0.0
ACVR2B#4.018122#0.01042511#0.0
SLC16A4#4.018122#0.010425112#0.0
CDK9#4.0181217#0.0104250945#0.0
C22orf24#4.0181203#0.010425058#0.0
OSGEP#4.01812#0.010425053#0.0
HIST1H2BB#4.0181193#0.010425043#0.0
NRSN2#4.018118#0.010425009#0.0
TATDN1#4.0181174#0.010424993#0.0
SERPINB2#4.018117#0.010424977#0.0
RCE1#4.018117#0.010424986#0.0
CHST7#4.0181165#0.010424967#0.0
OCEL1#4.0181146#0.010424922#0.0
ANKS4B#4.0181146#0.010424926#0.0
LRG1#4.018114#0.010424916#0.0
PSMD3#4.0181136#0.010424898#0.0
HOXB6#4.018112#0.010424865#0.0
C3orf85#4.018112#0.010424872#0.0
GCNT1#4.018112#0.01042487#0.0
SCRN1#4.018111#0.010424847#0.0
DLK1#4.0181108#0.010424836#0.0
IFIT5#4.01811#0.010424811#0.0
NR4A2#4.0181093#0.010424793#0.0
CSNK1G3#4.0181084#0.010424781#0.0
MAP2K6#4.018108#0.010424761#0.0
