#PS.1#PS.1_pos#PS.1_nag
DTX1#4.018727#0.010439628#0.0
PTCD2#4.0184097#0.010432015#0.0
QRFP#4.0184073#0.010431951#0.0
ABHD11#4.018394#0.010431634#0.0
C11orf94#4.0183935#0.010431623#0.0
PLEKHA2#4.018324#0.010429954#0.0
FN3KRP#4.018321#0.010429877#0.0
TNMD#4.018258#0.010428376#0.0
RSPO1#4.018258#0.010428371#0.0
SDHB#4.0182495#0.01042817#0.0
GUCY1A2#4.018245#0.0104280645#0.0
ELK1#4.0182447#0.010428053#0.0
LRG1#4.0182385#0.0104279015#0.0
PDZD4#4.0182385#0.010427901#0.0
ZNF689#4.018185#0.010426615#0.0
CDH7#4.018185#0.010426618#0.0
RAB25#4.0181837#0.010426585#0.0
VTCN1#4.0181823#0.010426553#0.0
TM9SF1#4.0181775#0.010426434#0.0
OR1J2#4.018172#0.010426294#0.0
MBD3L1#4.018171#0.010426269#0.0
CD86#4.018164#0.010426117#0.0
NAP1L3#4.018164#0.010426119#0.0
ANXA2R#4.018163#0.01042609#0.0
CELF6#4.0181627#0.010426081#0.0
TGFB3#4.018162#0.010426057#0.0
NDUFB11#4.018161#0.0104260305#0.0
GLOD5#4.018159#0.010425985#0.0
SLC16A12#4.018158#0.01042597#0.0
SPATA8#4.0181575#0.010425954#0.0
KCNF1#4.0181565#0.010425927#0.0
LACRT#4.0181155#0.010424949#0.0
CWC15#4.0181055#0.010424706#0.0
OR8H3#4.018104#0.010424677#0.0
SMPX#4.0181026#0.010424641#0.0
CYP27C1#4.018101#0.010424605#0.0
DCUN1D1#4.0180984#0.010424536#0.0
IQCK#4.018097#0.0104244985#0.0
CXCL12#4.018096#0.010424478#0.0
GNPDA1#4.018096#0.010424483#0.0
PFDN5#4.0180945#0.010424446#0.0
OTUB1#4.018094#0.0104244305#0.0
DIRAS3#4.0180936#0.010424416#0.0
FAM43A#4.0180936#0.010424418#0.0
NAXE#4.018093#0.010424412#0.0
TMEM30A#4.018091#0.010424362#0.0
SYT3#4.0180902#0.010424344#0.0
NCR3LG1#4.0180902#0.010424341#0.0
CHIC1#4.01809#0.010424325#0.0
CORO2B#4.018088#0.010424282#0.0
SPINT2#4.0180874#0.010424269#0.0
NR4A3#4.0180874#0.010424268#0.0
CRYAB#4.0180864#0.010424247#0.0
HERC3#4.0180855#0.010424231#0.0
GTF2I#4.0180855#0.010424227#0.0
PFN4#4.018085#0.010424211#0.0
SERPINB1#4.018085#0.01042421#0.0
NPTN#4.018085#0.010424215#0.0
IL17B#4.018085#0.010424209#0.0
CYP39A1#4.0180845#0.010424199#0.0
CASC10#4.018084#0.0104241865#0.0
PORCN#4.018084#0.010424189#0.0
HOXC6#4.018083#0.010424169#0.0
ZNF697#4.0180826#0.0104241595#0.0
NAIF1#4.018082#0.010424141#0.0
TMEM245#4.018081#0.010424119#0.0
P2RY6#4.018081#0.01042412#0.0
