#TAPVC#TAPVC_pos#TAPVC_nag
TEX12#4.020069#0.010471955#0.0
IHH#4.0199366#0.010468761#0.0
RBP5#4.0199366#0.010468761#0.0
MAFK#4.0199194#0.010468344#0.0
ATAD1#4.0199194#0.010468344#0.0
GIMAP1#4.0199194#0.010468344#0.0
CTSG#4.019917#0.010468285#0.0
BAG5#4.019917#0.010468285#0.0
CXorf21#4.0198646#0.010467016#0.0
GABRA5#4.0198097#0.010465701#0.0
TMEM116#4.0198097#0.010465701#0.0
NLRP2B#4.019691#0.010462837#0.0
RTL8B#4.019691#0.010462837#0.0
IZUMO1#4.019691#0.010462837#0.0
SPIN1#4.019691#0.010462837#0.0
ITGB3BP#4.019691#0.010462837#0.0
HYPK#4.019691#0.010462837#0.0
TSPO2#4.019677#0.010462509#0.0
ENTPD1-AS1#4.0188417#0.010442399#0.0
