#TOF#TOF_pos#TOF_nag
HM13#4.018672#0.0104383165#0.0
OR1J2#4.018492#0.010433995#0.0
CD86#4.018479#0.010433672#0.0
SPINT2#4.0183415#0.0104303695#0.0
NUDT16#4.0183206#0.010429874#0.0
ACTR6#4.018222#0.010427505#0.0
KRTAP4-3#4.018216#0.010427364#0.0
BMP7#4.0182137#0.01042731#0.0
GTF3C2#4.0182137#0.010427305#0.0
SMAD4#4.0182123#0.010427266#0.0
SLC35A1#4.018204#0.01042708#0.0
TLCD1#4.0181932#0.010426815#0.0
RPE#4.018193#0.010426803#0.0
LUM#4.0181894#0.010426722#0.0
LCE2A#4.018183#0.010426573#0.0
SRR#4.0181823#0.010426548#0.0
CLDN1#4.018139#0.010425502#0.0
REG4#4.018139#0.010425504#0.0
C2orf27B#4.018112#0.010424861#0.0
HIST1H4G#4.018072#0.010423909#0.0
CALN1#4.0180693#0.010423835#0.0
C2orf49#4.018069#0.010423826#0.0
HENMT1#4.0180674#0.010423788#0.0
RHOA#4.018066#0.010423759#0.0
ZCCHC12#4.0180655#0.010423744#0.0
HPCAL4#4.018065#0.010423738#0.0
RPL10A#4.0180635#0.0104236975#0.0
CCL20#4.0180635#0.010423699#0.0
HINT1#4.018063#0.010423685#0.0
NHLRC4#4.0180616#0.010423659#0.0
ACKR4#4.018061#0.010423645#0.0
CCR2#4.0180607#0.010423631#0.0
IGIP#4.0180597#0.010423606#0.0
FAM217B#4.0180593#0.010423601#0.0
CCDC47#4.018059#0.010423585#0.0
THOC1#4.018059#0.010423586#0.0
HSPB3#4.0180573#0.010423552#0.0
CS#4.018057#0.010423535#0.0
MTURN#4.018056#0.010423516#0.0
RNF2#4.0180545#0.010423477#0.0
VPS4B#4.0180545#0.010423484#0.0
TEX30#4.018054#0.010423475#0.0
GTF3C4#4.0180535#0.010423455#0.0
VAMP2#4.0180526#0.010423434#0.0
RNASE4#4.0180526#0.010423439#0.0
IL2RA#4.0180516#0.0104234135#0.0
HTR1B#4.018051#0.010423396#0.0
S100A8#4.0180497#0.010423362#0.0
DNAL4#4.018049#0.010423343#0.0
SUSD6#4.018049#0.010423342#0.0
C4orf3#4.0180483#0.010423338#0.0
P2RY8#4.018048#0.010423321#0.0
BTG3#4.018047#0.010423293#0.0
C10orf113#4.0180464#0.010423287#0.0
MED21#4.018046#0.01042328#0.0
TTC9C#4.018045#0.010423257#0.0
RAB2B#4.018045#0.010423253#0.0
AADAT#4.018045#0.010423258#0.0
CLTB#4.0180445#0.010423236#0.0
KRTAP19-5#4.018044#0.010423227#0.0
LYPD2#4.018043#0.01042321#0.0
FAM153A#4.0180416#0.010423177#0.0
SMR3B#4.01804#0.010423143#0.0
PITX3#4.01804#0.010423133#0.0
C8orf88#4.0180397#0.0104231285#0.0
EIF4EBP1#4.0180387#0.0104231#0.0
TRAF4#4.0180373#0.010423065#0.0
DPM2#4.0180364#0.0104230475#0.0
LGI1#4.018035#0.010423007#0.0
CBLN1#4.017997#0.010422094#0.0
FBXO48#4.0179954#0.010422062#0.0
TRNP1#4.0179954#0.010422062#0.0
TXNL1#4.0179954#0.010422062#0.0
CORT#4.017991#0.01042196#0.0
RPS10#4.017982#0.010421742#0.0
PLLP#4.017927#0.010420429#0.0
UBE2M#4.0179243#0.010420362#0.0
ANAPC13#4.0179243#0.010420362#0.0
CSF2#4.0179243#0.010420362#0.0
EIF3L#4.0179214#0.010420285#0.0
SASH3#4.017921#0.010420276#0.0
STRAP#4.0179186#0.010420224#0.0
CRABP1#4.0179186#0.010420224#0.0
G6PC3#4.0179186#0.010420224#0.0
NKRF#4.017917#0.0104201855#0.0
KPNB1#4.0179167#0.0104201725#0.0
PIRT#4.0179167#0.0104201725#0.0
RPS29#4.017916#0.010420168#0.0
CXCR6#4.017916#0.010420159#0.0
CLEC7A#4.017916#0.010420159#0.0
CCDC43#4.017916#0.010420168#0.0
FAM133B#4.0179157#0.010420156#0.0
F2R#4.017915#0.010420131#0.0
INSYN1#4.017915#0.010420131#0.0
MRPS21#4.017915#0.010420131#0.0
INIP#4.017915#0.010420131#0.0
PITHD1#4.017915#0.010420131#0.0
GNG12#4.017915#0.010420127#0.0
PSMD4#4.0179143#0.010420123#0.0
EIF3I#4.0179143#0.010420123#0.0
FAM25A#4.017914#0.010420106#0.0
SMAD7#4.017914#0.010420106#0.0
HAND1#4.017914#0.010420103#0.0
AGRP#4.0179133#0.010420098#0.0
SHOC2#4.0179133#0.010420098#0.0
CRIP1#4.017913#0.010420082#0.0
SMC1A#4.017913#0.010420078#0.0
CBX6#4.017913#0.010420078#0.0
EDF1#4.0179124#0.010420066#0.0
CCNQ#4.0179124#0.010420075#0.0
CLDN24#4.0179124#0.010420075#0.0
NDFIP1#4.0179124#0.01042007#0.0
DPRX#4.0179124#0.010420066#0.0
IL20RB#4.0179124#0.010420075#0.0
KCNMB4#4.0179124#0.010420066#0.0
DESI2#4.017912#0.010420059#0.0
LINC02054#4.017912#0.010420063#0.0
APCS#4.0179114#0.010420047#0.0
TSPAN14#4.017911#0.010420039#0.0
PTPRK#4.0179105#0.010420031#0.0
SUMO3#4.0179105#0.010420031#0.0
MCUR1#4.0179105#0.010420023#0.0
HIST1H3D#4.0179105#0.010420023#0.0
IL22#4.0179105#0.010420023#0.0
USF1#4.0179105#0.010420023#0.0
VAMP8#4.0179105#0.010420031#0.0
KLRC3#4.0179105#0.010420031#0.0
ARMCX3#4.0179105#0.010420027#0.0
TNNC2#4.0179105#0.010420031#0.0
HHEX#4.0179105#0.010420031#0.0
HOXC9#4.0179105#0.010420031#0.0
ARL6#4.0179105#0.010420023#0.0
KCNS3#4.0179105#0.010420027#0.0
PPAT#4.0179105#0.010420031#0.0
UBE2L5#4.0179105#0.010420031#0.0
PCLAF#4.0179105#0.010420023#0.0
SCP2D1#4.01791#0.010420011#0.0
ETFA#4.01791#0.010420016#0.0
CRB3#4.01791#0.010420016#0.0
MAPRE1#4.01791#0.010420016#0.0
PTRHD1#4.01791#0.010420016#0.0
DCUN1D5#4.0179095#0.010420008#0.0
KLHDC8B#4.0179095#0.010420004#0.0
SPCS3#4.0179095#0.010420008#0.0
CEBPZOS#4.0179095#0.010420008#0.0
RAB4B#4.0179095#0.010420008#0.0
CUEDC2#4.0179095#0.010420008#0.0
TCEAL5#4.0179095#0.010420008#0.0
MXI1#4.0179095#0.010420004#0.0
PCBP2#4.017909#0.010419996#0.0
RBM8A#4.0179086#0.010419974#0.0
CRK#4.0179086#0.010419974#0.0
LCE1A#4.017908#0.010419966#0.0
PPP1CB#4.017908#0.010419966#0.0
GAPT#4.017908#0.010419966#0.0
ATP5PD#4.017908#0.010419966#0.0
ING4#4.0179076#0.010419958#0.0
LDB2#4.0179076#0.010419955#0.0
SUPT4H1#4.0179076#0.010419955#0.0
UQCR10#4.0179076#0.010419962#0.0
BABAM1#4.0179076#0.010419955#0.0
LIF#4.0179076#0.010419955#0.0
CFAP20#4.017907#0.010419941#0.0
IQSEC3#4.017907#0.010419941#0.0
MUCL1#4.017907#0.010419941#0.0
GTSF1#4.0179067#0.010419933#0.0
Mar_08#4.0179067#0.010419933#0.0
LAMTOR2#4.017906#0.010419926#0.0
