#TV#TV_pos#TV_nag
NUP62CL#4.0193753#0.010455239#0.0
CENPM#4.019275#0.010452819#0.0
DNAJB4#4.019236#0.010451878#0.0
UBE2E3#4.019235#0.010451859#0.0
PPP2R2A#4.0186124#0.010436883#0.0
ACOT1#4.0186124#0.010436883#0.0
COA3#4.0186124#0.010436883#0.0
PCYT1B#4.0185723#0.010435916#0.0
MED18#4.0185447#0.010435257#0.0
ACBD7#4.0185447#0.010435257#0.0
RBPMS2#4.018527#0.010434836#0.0
BCL2A1#4.018527#0.010434836#0.0
AIG1#4.018524#0.010434758#0.0
SUCLA2#4.01852#0.010434662#0.0
OR5V1#4.0185075#0.010434359#0.0
C1orf43#4.0185075#0.010434359#0.0
UBE2B#4.0185065#0.010434341#0.0
GRAP#4.0184946#0.010434048#0.0
BCL2L15#4.0184946#0.010434048#0.0
DYNLT1#4.018493#0.010434013#0.0
EMC4#4.018493#0.010434013#0.0
CFP#4.0184894#0.010433923#0.0
PLAC8#4.018481#0.010433714#0.0
FBXL14#4.018481#0.010433714#0.0
TMEM56-RWDD3#4.018475#0.010433577#0.0
SLC25A51#4.018475#0.010433577#0.0
RNF227#4.018475#0.010433577#0.0
MRPL35#4.018474#0.01043356#0.0
CTNNBIP1#4.018472#0.010433509#0.0
ABHD17C#4.018472#0.010433509#0.0
REEP2#4.0184665#0.010433375#0.0
TRAPPC3#4.018461#0.010433244#0.0
ACOT6#4.0184445#0.010432845#0.0
COPS2#4.0184445#0.010432845#0.0
GOLGA8J#4.0181274#0.010425234#0.0
GOLGA8R#4.0181274#0.010425234#0.0
RGPD6#4.0180016#0.010422208#0.0
