#ebstain#ebstain_pos#ebstain_nag
COPS5#4.020229#0.010475809#0.0
CDK1#4.020229#0.010475809#0.0
RAMMET#4.020229#0.010475809#0.0
C12orf76#4.020216#0.010475494#0.0
C5orf24#4.020216#0.010475494#0.0
TRIM31#4.020216#0.010475494#0.0
C1orf43#4.02016#0.010474145#0.0
OR5V1#4.02016#0.010474145#0.0
ZDHHC9#4.0201526#0.010473966#0.0
CSF3#4.0201526#0.010473966#0.0
RAB1B#4.0201163#0.0104730865#0.0
C5orf66#4.0201163#0.0104730865#0.0
PFDN2#4.0201163#0.0104730865#0.0
C1orf21#4.0200377#0.010471189#0.0
JAM2#4.0200377#0.010471189#0.0
NDUFB3#4.0200377#0.010471189#0.0
CYP21A2#4.0200353#0.010471135#0.0
CDPF1#4.020022#0.010470815#0.0
MZF1-AS1#4.0188932#0.010443635#0.0
