#AS-COA#AS-COA_pos#AS-COA_nag
MYCNOS#5.6990795#0.50012493#0.0
PSMD14#5.6990795#0.50012493#0.0
INKA1#5.6990776#0.500123#0.0
KRTAP19-2#5.6990776#0.500123#0.0
SLFNL1-AS1#5.6990776#0.500123#0.0
KLRC1#5.699073#0.50011736#0.0
NDUFC2-KCTD14#5.699073#0.50011736#0.0
C5orf30#5.699073#0.50011736#0.0
PROK2#5.699073#0.50011736#0.0
