#PA#PA_pos#PA_nag
PPP2R2A#5.6990066#0.50004107#0.0
ACOT1#5.6990066#0.50004107#0.0
COA3#5.6990066#0.50004107#0.0
PPP2R1A#5.699005#0.5000393#0.0
MEIG1#5.6990047#0.50003904#0.0
FBXW11#5.6990037#0.5000377#0.0
FAM72A#5.6990037#0.5000377#0.0
PTH#5.699003#0.50003725#0.0
TAC1#5.699003#0.500037#0.0
UPRT#5.6990023#0.50003636#0.0
PLEKHB2#5.6990023#0.5000361#0.0
HIST3H2A#5.6990023#0.5000361#0.0
MRPL35#5.699002#0.5000354#0.0
