#PA-vsd#PA-vsd_pos#PA-vsd_nag
LLPH#5.6989903#0.5000223#0.0
DRG2#5.6989894#0.5000216#0.0
EXOSC1#5.6989894#0.5000216#0.0
CHIC2#5.6989894#0.50002104#0.0
HIGD2A#5.6989894#0.50002134#0.0
ABRACL#5.6989894#0.50002134#0.0
CLNS1A#5.6989894#0.50002104#0.0
GTF2H5#5.6989894#0.5000216#0.0
ZFY#5.6989894#0.50002134#0.0
MYOD1#5.698989#0.5000208#0.0
LYN#5.698989#0.5000209#0.0
PSMA2#5.698989#0.5000209#0.0
BBIP1#5.698989#0.50002074#0.0
RETN#5.6989884#0.50002#0.0
C8orf44#5.6989884#0.5000204#0.0
NCK2#5.6989884#0.5000203#0.0
SOD1#5.6989884#0.5000204#0.0
PPCS#5.6989884#0.50002027#0.0
BTF3L4#5.6989884#0.5000204#0.0
TP53INP1#5.6989884#0.5000203#0.0
FMC1#5.6989884#0.50002027#0.0
ESRRG#5.6989884#0.50002015#0.0
PLEKHF2#5.6989884#0.50002015#0.0
RHBDL3#5.6989884#0.5000201#0.0
CXCL5#5.6989884#0.5000201#0.0
HIST1H4E#5.698988#0.50001967#0.0
ACTR3B#5.698988#0.50001967#0.0
ATF1#5.698988#0.50001967#0.0
RPS4X#5.698988#0.50001967#0.0
