#AS#AS_pos#AS_nag
SKP1#5.699084#0.5001302#0.0
PFDN4#5.699084#0.5001302#0.0
RHEB#5.6990776#0.5001227#0.0
RAB2A#5.6990776#0.5001227#0.0
PRAP1#5.699076#0.5001211#0.0
CLDN34#5.699072#0.50011635#0.0
