#COA-IVS#COA-IVS_pos#COA-IVS_nag
TSPAN6#5.699007#0.5000418#0.0
KCNA2#5.699007#0.5000418#0.0
TBPL1#5.6990037#0.5000378#0.0
HIST1H2BK#5.6990037#0.50003785#0.0
FOSB#5.6990027#0.5000368#0.0
GREM2#5.6990027#0.5000368#0.0
PURB#5.6990027#0.50003684#0.0
ADIPOQ-AS1#5.699002#0.5000354#0.0
NSG2#5.699002#0.5000354#0.0
GP1BB#5.699002#0.5000354#0.0
DPPA2#5.699002#0.50003535#0.0
FAM19A1#5.699002#0.50003535#0.0
HIST1H2BN#5.6990004#0.50003403#0.0
SMIM19#5.6990004#0.50003403#0.0
