#VSD+#VSD+_pos#VSD+_nag
KRTAP22-2#5.699004#0.5000381#0.0
PRR20G#5.699004#0.5000381#0.0
CAPNS2#5.6990027#0.50003684#0.0
NNAT#5.699002#0.5000355#0.0
SPRR2F#5.6989846#0.5000157#0.0
SNX24#5.6989846#0.5000157#0.0
CRABP2#5.6989822#0.50001293#0.0
NDUFB4#5.6989822#0.50001293#0.0
STK38L#5.6989822#0.50001293#0.0
DEFA5#5.6989813#0.500012#0.0
RAB3A#5.698981#0.50001156#0.0
Mar_05#5.698981#0.5000115#0.0
MTRNR2L9#5.698981#0.5000117#0.0
ZC4H2#5.698981#0.5000115#0.0
FAM168A#5.698981#0.5000117#0.0
SHTN1#5.698981#0.5000117#0.0
MEIG1#5.698981#0.5000117#0.0
ERH#5.698981#0.50001144#0.0
MAFB#5.698981#0.5000117#0.0
TXNDC8#5.698981#0.50001156#0.0
CRCP#5.698981#0.50001156#0.0
ARF4#5.698981#0.50001156#0.0
MRPL51#5.698981#0.50001156#0.0
DDA1#5.698981#0.50001156#0.0
HIST1H2AI#5.698981#0.5000115#0.0
HSBP1#5.698981#0.5000115#0.0
TMUB1#5.6989803#0.5000107#0.0
MRPS36#5.6989803#0.50001097#0.0
TMEM155#5.6989803#0.5000107#0.0
BOLA3#5.6989803#0.5000109#0.0
NPY4R#5.6989803#0.50001097#0.0
TMEM150B#5.6989803#0.50001097#0.0
KRT34#5.6989803#0.50001097#0.0
TENT5D#5.6989803#0.50001085#0.0
LSM5#5.6989803#0.5000109#0.0
VMAC#5.6989803#0.50001085#0.0
IGFBP1#5.6989803#0.5000106#0.0
ACACA#5.6989803#0.5000111#0.0
NXT1#5.6989803#0.5000106#0.0
PDPK1#5.6989803#0.5000106#0.0
LHFPL1#5.6989803#0.5000111#0.0
INSIG2#5.6989803#0.50001085#0.0
MAP3K8#5.6989803#0.50001097#0.0
SPIN3#5.6989803#0.5000109#0.0
HMSD#5.69898#0.5000104#0.0
CPEB4#5.69898#0.5000102#0.0
C11orf52#5.69898#0.5000102#0.0
TSPEAR-AS1#5.69898#0.5000102#0.0
RAB33A#5.69898#0.5000102#0.0
