#ebstain#ebstain_pos#ebstain_nag
RAMMET#5.6990128#0.500048#0.0
CDK1#5.6990128#0.500048#0.0
COPS5#5.6990128#0.500048#0.0
C5orf24#5.6990123#0.50004786#0.0
CSF3#5.6990123#0.50004756#0.0
C12orf76#5.6990123#0.50004786#0.0
ZDHHC9#5.6990123#0.50004756#0.0
TRIM31#5.6990123#0.50004786#0.0
C1orf43#5.699012#0.50004715#0.0
OR5V1#5.699012#0.50004715#0.0
RAB1B#5.6990104#0.50004566#0.0
C5orf66#5.6990104#0.50004566#0.0
PFDN2#5.6990104#0.50004566#0.0
JAM2#5.69901#0.5000452#0.0
MZF1-AS1#5.69901#0.500045#0.0
CDPF1#5.69901#0.500045#0.0
NDUFB3#5.69901#0.5000452#0.0
CYP21A2#5.69901#0.500045#0.0
C1orf21#5.69901#0.5000452#0.0
