#SV#SV_pos#SV_nag
AGR2#5.699027#0.50006455#0.0
TFF1#5.698995#0.50002766#0.0
METTL2A#5.698995#0.50002766#0.0
KMT5A#5.698995#0.50002766#0.0
GSTT2#5.698994#0.50002706#0.0
GSTT2B#5.698994#0.50002706#0.0
BEX5#5.6989937#0.50002646#0.0
BLOC1S6#5.6989937#0.50002646#0.0
CXCR5#5.6989937#0.50002646#0.0
TMEM203#5.698993#0.50002563#0.0
HIST1H4K#5.698993#0.50002563#0.0
C9orf163#5.698993#0.50002563#0.0
EDDM3B#5.698993#0.50002563#0.0
PAGE2#5.698993#0.50002563#0.0
LOC645188#5.698993#0.50002563#0.0
IL15#5.698993#0.50002563#0.0
ZNF566#5.698993#0.50002563#0.0
MAP1LC3B2#5.6989927#0.50002503#0.0
ANAPC16#5.6989927#0.50002503#0.0
LAMTOR3#5.6989927#0.50002515#0.0
YAF2#5.6989927#0.50002515#0.0
RABAC1#5.6989927#0.50002515#0.0
RAB5B#5.6989927#0.50002503#0.0
C17orf112#5.6989923#0.5000248#0.0
WFDC13#5.6989923#0.5000248#0.0
SPANXN3#5.6989923#0.5000248#0.0
PTMS#5.698992#0.50002396#0.0
ARHGEF9#5.698992#0.50002396#0.0
TEX13C#5.698992#0.50002396#0.0
