#TGA#TGA_pos#TGA_nag
TCTEX1D2#5.69899#0.5000218#0.0
CGB2#5.69899#0.50002193#0.0
FGF8#5.69899#0.50002164#0.0
FAM192A#5.69899#0.5000218#0.0
SLC25A4#5.6989894#0.50002134#0.0
TCF19#5.6989894#0.5000212#0.0
ADM#5.6989894#0.5000216#0.0
CD47#5.6989894#0.5000215#0.0
TUBB6#5.6989894#0.50002104#0.0
SCN4B#5.6989746#0.50000405#0.0
SHISA8#5.6989746#0.5000041#0.0
TSHB#5.6989746#0.5000041#0.0
NR2E1#5.698974#0.5000035#0.0
CHMP1B#5.698974#0.5000035#0.0
PPIAL4E#5.698974#0.5000035#0.0
PPIAL4F#5.698974#0.5000035#0.0
LYNX1#5.698974#0.50000376#0.0
PLA2G5#5.698974#0.5000036#0.0
SLC16A2#5.698974#0.50000376#0.0
HES1#5.698974#0.50000376#0.0
KCNJ6#5.698974#0.5000035#0.0
PPIAL4D#5.698974#0.5000035#0.0
CD59#5.698974#0.5000035#0.0
HEXIM1#5.698974#0.5000035#0.0
HTN3#5.698974#0.5000035#0.0
STMN2#5.698974#0.5000036#0.0
ARL1#5.698974#0.5000036#0.0
MAGEA5#5.698974#0.5000036#0.0
MAGEA10-MAGEA5#5.698974#0.5000036#0.0
YY2#5.698974#0.5000036#0.0
SMIM13#5.698974#0.5000036#0.0
RPL39L#5.698974#0.5000036#0.0
LOC391322#5.698974#0.5000037#0.0
DDT#5.698974#0.5000037#0.0
ARL5A#5.698974#0.500004#0.0
CDK5R2#5.698974#0.5000037#0.0
UBIAD1#5.698974#0.5000037#0.0
PRKX#5.698974#0.5000037#0.0
PEX11B#5.698974#0.5000036#0.0
TIMP3#5.698974#0.5000037#0.0
TRIM44#5.698974#0.5000035#0.0
TTC36#5.698974#0.5000035#0.0
KLHL23#5.698974#0.5000035#0.0
ZNF385A#5.698974#0.50000364#0.0
GNRH1#5.698974#0.5000035#0.0
CARNMT1#5.698974#0.5000035#0.0
NOMO1#5.698974#0.50000364#0.0
NAA40#5.698974#0.50000393#0.0
PHOSPHO2-KLHL23#5.698974#0.5000035#0.0
POPDC3#5.698974#0.5000035#0.0
SPRR4#5.698974#0.5000035#0.0
EID2B#5.6989737#0.5000034#0.0
MVB12B#5.6989737#0.50000316#0.0
MIR3936HG#5.6989737#0.5000034#0.0
CLEC2D#5.6989737#0.5000034#0.0
PDP2#5.6989737#0.5000034#0.0
TUBB4A#5.6989737#0.5000034#0.0
TRAPPC1#5.6989737#0.5000034#0.0
RAB6C#5.6989737#0.50000346#0.0
TOMM22#5.6989737#0.5000034#0.0
GOLGA8A#5.6989737#0.5000034#0.0
SRSF3#5.6989737#0.5000034#0.0
MINOS1#5.6989737#0.50000346#0.0
WNT7A#5.6989737#0.5000034#0.0
PPP3R1#5.6989737#0.50000316#0.0
FAM19A2#5.6989737#0.50000346#0.0
SEC61G#5.6989737#0.50000346#0.0
CSRP2#5.6989737#0.50000346#0.0
CLDN19#5.6989737#0.5000033#0.0
FBXO32#5.6989737#0.5000033#0.0
IGFL4#5.6989737#0.5000033#0.0
OR2A7#5.6989737#0.5000034#0.0
TMCO2#5.6989737#0.5000033#0.0
CT83#5.6989737#0.50000346#0.0
HIGD1B#5.6989737#0.50000334#0.0
RNF41#5.6989737#0.50000304#0.0
LSM7#5.698973#0.50000274#0.0
TBCB#5.698973#0.50000274#0.0
