#DORV#DORV_pos#DORV_nag
AKR1B1#5.6990128#0.5000482#0.0
RGCC#5.698995#0.5000279#0.0
TMEM167B#5.698995#0.5000277#0.0
RNF7#5.6989775#0.5000078#0.0
VAPB#5.6989775#0.5000074#0.0
TMSB15A#5.6989775#0.5000074#0.0
RAB5A#5.698977#0.5000072#0.0
ACER3#5.698977#0.5000072#0.0
TOMM34#5.698977#0.50000685#0.0
C18orf32#5.698977#0.5000072#0.0
TEX22#5.698977#0.50000685#0.0
PEA15#5.698977#0.50000685#0.0
RAN#5.6989765#0.5000064#0.0
AIG1#5.6989765#0.5000067#0.0
TMX1#5.6989765#0.50000644#0.0
MT1F#5.6989765#0.50000656#0.0
LOC100131047#5.6989765#0.50000644#0.0
RBM22#5.6989765#0.50000644#0.0
H1FX#5.6989765#0.5000062#0.0
TMEM159#5.6989765#0.5000067#0.0
TMEM170A#5.6989765#0.5000062#0.0
C1orf122#5.6989765#0.50000626#0.0
TIMM8B#5.6989765#0.5000067#0.0
PON2#5.6989765#0.5000067#0.0
KRTCAP3#5.6989765#0.5000064#0.0
MYCT1#5.6989765#0.5000064#0.0
CCL11#5.6989765#0.5000064#0.0
MYCBP#5.6989765#0.5000063#0.0
IGSF23#5.6989765#0.5000064#0.0
WFDC11#5.6989765#0.5000064#0.0
TEX13D#5.6989765#0.5000064#0.0
MRPL34#5.6989765#0.5000067#0.0
ACTL6A#5.6989765#0.50000644#0.0
DIRC1#5.6989765#0.5000067#0.0
OXT#5.6989765#0.50000644#0.0
RHOC#5.6989765#0.50000626#0.0
HBZ#5.6989765#0.50000626#0.0
PYCARD#5.698976#0.5000061#0.0
RPL32#5.698976#0.5000057#0.0
GNG10#5.698976#0.5000061#0.0
RAB10#5.698976#0.50000614#0.0
RAC1#5.698976#0.5000057#0.0
KCNIP4#5.698976#0.50000614#0.0
ZSCAN16-AS1#5.6989756#0.50000566#0.0
ATP5MC2#5.6989756#0.50000566#0.0
RPL36#5.6989746#0.50000423#0.0
