#MV#MV_pos#MV_nag
TRAPPC6B#5.698987#0.5000183#0.0
MRPL48#5.698987#0.5000183#0.0
SAMD5#5.6989865#0.50001824#0.0
ZBTB2#5.6989865#0.5000182#0.0
HIST1H2BJ#5.698986#0.50001734#0.0
TRMT2B#5.698986#0.5000177#0.0
SPDYE16#5.698986#0.50001746#0.0
Mar_03#5.698986#0.5000176#0.0
PAX1#5.6989856#0.50001705#0.0
UBTD2#5.6989856#0.50001687#0.0
IMMP1L#5.6989856#0.5000171#0.0
KRTAP13-3#5.698973#0.5000027#0.0
OTX2#5.6989727#0.5000023#0.0
OR2A42#5.6989727#0.5000021#0.0
TRPM1#5.6989727#0.50000197#0.0
OTUD5#5.6989727#0.50000197#0.0
ZCCHC10#5.6989727#0.5000018#0.0
KMT5A#5.6989727#0.500002#0.0
DEFB134#5.6989727#0.5000018#0.0
METTL2A#5.6989727#0.500002#0.0
TFF1#5.6989727#0.500002#0.0
SRGAP2B#5.6989727#0.5000021#0.0
OR2A1#5.6989727#0.5000021#0.0
TMEM115#5.6989727#0.5000018#0.0
CHMP3#5.6989727#0.5000018#0.0
KRTAP9-3#5.6989727#0.5000021#0.0
ADAT2#5.6989727#0.5000019#0.0
FAM50A#5.6989727#0.5000023#0.0
SRGAP2C#5.6989727#0.5000019#0.0
FOXD4L3#5.6989727#0.5000021#0.0
APOC3#5.6989727#0.5000021#0.0
TIMM9#5.6989727#0.5000021#0.0
BEX5#5.698972#0.50000167#0.0
GABARAP#5.698972#0.50000155#0.0
LOC100289561#5.698972#0.50000167#0.0
RAB5B#5.698972#0.50000143#0.0
SPATA9#5.698972#0.5000017#0.0
PIK3CA#5.698972#0.50000155#0.0
CXCR5#5.698972#0.50000167#0.0
ACTL6B#5.698972#0.5000015#0.0
BRS3#5.698972#0.5000017#0.0
ANAPC16#5.698972#0.50000143#0.0
CHRNA7#5.698972#0.50000155#0.0
BLOC1S6#5.698972#0.50000167#0.0
CCL19#5.698972#0.5000015#0.0
PDZD11#5.698972#0.5000014#0.0
DRD1#5.698972#0.50000155#0.0
SPOP#5.698972#0.5000014#0.0
ZNF22#5.698972#0.5000015#0.0
TMEM219#5.698972#0.5000015#0.0
DUSP7#5.698972#0.5000015#0.0
CDKN2D#5.698972#0.5000017#0.0
FAM72B#5.698972#0.5000015#0.0
GNGT1#5.698972#0.5000014#0.0
METTL9#5.698972#0.5000017#0.0
CXorf21#5.698972#0.5000016#0.0
SDF2#5.698972#0.5000016#0.0
GNG2#5.698972#0.50000143#0.0
TMPO-AS1#5.698972#0.50000155#0.0
PIP4P2#5.698972#0.50000143#0.0
TGFB2#5.698972#0.50000143#0.0
PCBP1#5.698972#0.50000155#0.0
CACYBP#5.698972#0.50000143#0.0
GPHA2#5.6989717#0.50000083#0.0
CALM2#5.6989717#0.5000011#0.0
PSMA4#5.6989717#0.50000083#0.0
ZFP92#5.6989717#0.5000011#0.0
H3.Y#5.6989717#0.5000012#0.0
FXYD2#5.6989717#0.50000095#0.0
MSL1#5.6989717#0.5000012#0.0
YPEL1#5.6989717#0.50000095#0.0
ESM1#5.6989717#0.5000012#0.0
PYDC2#5.6989717#0.5000012#0.0
SSU72#5.6989717#0.5000012#0.0
HLA-F#5.6989717#0.50000125#0.0
