#共同房室瓣#共同房室瓣_pos#共同房室瓣_nag
TEX12#5.6989856#0.5000169#0.0
BAG5#5.698985#0.5000161#0.0
PDXDC1#5.698985#0.5000161#0.0
MAGEH1#5.698985#0.5000161#0.0
CTSG#5.698985#0.5000161#0.0
NCALD#5.6989846#0.500016#0.0
CDK2AP2#5.6989846#0.50001603#0.0
C5orf58#5.6989846#0.500016#0.0
RTL8B#5.698984#0.50001526#0.0
IZUMO1#5.698984#0.50001526#0.0
SPIN1#5.698984#0.50001526#0.0
PRR7#5.698984#0.5000151#0.0
HMGN3#5.698984#0.5000151#0.0
APOLD1#5.698984#0.5000151#0.0
SNURF#5.698984#0.5000151#0.0
GRXCR1#5.6989837#0.50001484#0.0
TONSL-AS1#5.6989837#0.50001484#0.0
HMGN1#5.6989837#0.50001466#0.0
DNAJC5#5.6989837#0.50001466#0.0
TFF3#5.6989837#0.5000145#0.0
SPDYE2B#5.6989837#0.5000145#0.0
SPDYE2#5.6989837#0.5000145#0.0
MAP1LC3B2#5.698983#0.5000144#0.0
