#ASD+#ASD+_pos#ASD+_nag
SNRNP27#5.699095#0.5001425#0.0
HIST1H4H#5.699085#0.5001314#0.0
HMHB1#5.699079#0.5001246#0.0
ARPC5L#5.699079#0.5001246#0.0
