#TAPVC#TAPVC_pos#TAPVC_nag
TEX12#5.6990075#0.500042#0.0
RBP5#5.699006#0.5000404#0.0
IHH#5.699006#0.5000404#0.0
CTSG#5.6990056#0.50004005#0.0
BAG5#5.6990056#0.50004005#0.0
ENTPD1-AS1#5.6990056#0.50004#0.0
GIMAP1#5.6990056#0.50004#0.0
MAFK#5.6990056#0.50004#0.0
ATAD1#5.6990056#0.50004#0.0
CXorf21#5.6990047#0.5000387#0.0
GABRA5#5.699004#0.5000383#0.0
TMEM116#5.699004#0.5000383#0.0
RTL8B#5.6990037#0.5000379#0.0
IZUMO1#5.6990037#0.5000379#0.0
SPIN1#5.6990037#0.5000379#0.0
NLRP2B#5.699003#0.50003725#0.0
HYPK#5.699003#0.50003725#0.0
ITGB3BP#5.699003#0.50003725#0.0
TSPO2#5.6990023#0.5000363#0.0
