#IAA,B#IAA,B_pos#IAA,B_nag
SUMF1#5.6990266#0.5000639#0.0
ZNF449#5.6989927#0.5000251#0.0
TAS2R30#5.6989927#0.5000251#0.0
PHF6#5.6989927#0.5000249#0.0
KCTD7#5.6989927#0.5000249#0.0
TSLP#5.6989927#0.5000249#0.0
RBX1#5.6989927#0.5000252#0.0
PRPSAP2#5.6989927#0.5000251#0.0
SIX1#5.698992#0.5000239#0.0
POMP#5.698992#0.50002384#0.0
C9orf92#5.698992#0.5000239#0.0
CFC1#5.698992#0.50002384#0.0
CFC1B#5.698992#0.50002384#0.0
EID1#5.698992#0.5000239#0.0
UBE2G1#5.698992#0.5000239#0.0
LOC105371824#5.698992#0.5000242#0.0
ST8SIA3#5.698992#0.5000242#0.0
NUDT10#5.6989913#0.5000236#0.0
LOC105377372#5.6989913#0.50002337#0.0
TTN-AS1#5.6989913#0.50002337#0.0
CYSTM1#5.6989913#0.50002337#0.0
DRG1#5.6989913#0.50002337#0.0
LYPD8#5.6989913#0.5000234#0.0
OSER1#5.6989913#0.50002337#0.0
GAGE6#5.698991#0.50002325#0.0
GAGE7#5.698991#0.50002325#0.0
GAGE12G#5.698991#0.50002325#0.0
GAGE5#5.698991#0.50002325#0.0
GAGE12D#5.698991#0.50002325#0.0
KCTD4#5.698991#0.50002325#0.0
SCAMP5#5.698991#0.50002325#0.0
GAGE4#5.698991#0.50002325#0.0
GAGE12C#5.698991#0.50002325#0.0
GAGE12B#5.698991#0.50002325#0.0
GAGE12E#5.698991#0.50002325#0.0
GAGE12F#5.698991#0.50002325#0.0
GAGE12I#5.698991#0.50002325#0.0
