#肺动脉吊带#肺动脉吊带_pos#肺动脉吊带_nag
FAM24A#5.699125#0.5001773#0.0
UBE2T#5.699125#0.5001773#0.0
TMEM238#5.699124#0.50017637#0.0
HSF2#5.699124#0.50017637#0.0
SPRR2G#5.699124#0.50017637#0.0
BHLHA9#5.6991186#0.50017#0.0
