#AS#AS_pos#AS_nag
PFDN4#5.6990833#0.5001297#0.0
SKP1#5.6990833#0.5001297#0.0
RHEB#5.6990776#0.5001229#0.0
RAB2A#5.6990776#0.5001229#0.0
PRAP1#5.699076#0.5001215#0.0
CLDN34#5.6990724#0.50011694#0.0
