#ASD#ASD_pos#ASD_nag
SNCB#5.698984#0.5000152#0.0
CYTH1#5.698984#0.500015#0.0
HIST1H2BC#5.6989837#0.50001484#0.0
SIAH2#5.6989837#0.5000147#0.0
RPL37A#5.6989837#0.50001466#0.0
ADAT2#5.6989717#0.5000008#0.0
TXNRD3NB#5.6989717#0.5000009#0.0
SNRNP27#5.6989717#0.50000113#0.0
ZSCAN4#5.6989717#0.5000009#0.0
CTSG#5.6989717#0.50000083#0.0
BAG5#5.6989717#0.50000083#0.0
HSPB11#5.6989717#0.50000083#0.0
KCNJ8#5.6989717#0.5000009#0.0
MT1F#5.6989713#0.50000054#0.0
PRR7#5.6989713#0.50000054#0.0
TMEM116#5.6989713#0.50000054#0.0
GABRA5#5.6989713#0.50000054#0.0
HMHB1#5.6989713#0.50000054#0.0
HMGN3#5.6989713#0.50000054#0.0
HHLA3#5.6989713#0.50000066#0.0
KCNA1#5.6989713#0.5000006#0.0
WNT6#5.6989713#0.50000036#0.0
HIST1H4H#5.6989713#0.50000066#0.0
IFITM1#5.6989713#0.5000006#0.0
FAM110B#5.6989713#0.5000006#0.0
DEFB109B#5.6989713#0.5000006#0.0
HIST1H3C#5.6989713#0.5000006#0.0
SF3B4#5.6989713#0.5000006#0.0
RHOB#5.6989713#0.5000004#0.0
OR1J4#5.6989713#0.5000005#0.0
DNAJC5#5.6989713#0.5000004#0.0
TMEM182#5.6989713#0.5000006#0.0
C11orf96#5.6989713#0.5000004#0.0
SNURF#5.6989713#0.50000054#0.0
HMGN1#5.6989713#0.5000004#0.0
PTH#5.6989713#0.50000066#0.0
QKI#5.6989713#0.5000005#0.0
ARPC5L#5.6989713#0.50000054#0.0
LYRM7#5.6989713#0.5000005#0.0
GUCA1A#5.6989713#0.50000054#0.0
KRTAP12-3#5.6989713#0.5000004#0.0
NFYC#5.6989713#0.50000054#0.0
KLF6#5.6989713#0.50000054#0.0
ARF5#5.6989713#0.50000054#0.0
CXCR4#5.6989713#0.5000004#0.0
LOC104968399#5.6989713#0.50000024#0.0
APOLD1#5.6989713#0.50000054#0.0
POTED#5.6989713#0.5000006#0.0
C20orf202#5.6989713#0.5000006#0.0
MYL12B#5.6989713#0.50000036#0.0
CDC42#5.6989713#0.5000003#0.0
GOLGA7#5.6989713#0.5000005#0.0
C16orf87#5.6989713#0.5000003#0.0
NUDT5#5.6989713#0.5000006#0.0
VDAC3#5.6989713#0.5000006#0.0
LSM4#5.6989713#0.5000007#0.0
MED7#5.6989713#0.5000006#0.0
